Substance(s) active(s),P.Comm,Société,Fabricant
Promocarb,PROPAMIX SL,TASMID,AGRIA
Propamocarbe +Fosethyl-Al,Previcur Energy,EL MOUSSEM,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,Kestrel 240 SC,JADWA AGROTEC,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,Prosaro 250 EC,PROMOCHIMIE,BAYER CROPSCIENCE
Pyraclostrobin +Fenpropimorph,COMET PLUS EC,Agriprotec,BASF
Pyraclostrobin +fluxapyroxad,ORKESTRA SC,BIOPROTECTION,BASF
Soufre,Agrosoufre,AGROSYSTEMES,AgrostullnGmbH
Soufre,Cabridust,AGROSYSTEMES,The national company for agrochemicals(AGROCHEM)
Soufre,Soufrustulln,AMINCO,AgrostullnGmbH
Soufre,TIOSOL 80,ATLAS AGRICOLE,SIPCAM
Soufre,Mistral,BIOPROTECTION,ESSECO sarl/AAKO
Soufre,THIOMAX JET,COTUGRAIN,SYNGENTA
Soufre,Kumulus DF,STIMA,BASF
Soufre,SULFOSTAR DF,AGRIPROTEC,BASF
Tébuconazole,TEBUNOVA SC,AGRINOVA,SHARDA
Tébuconazole,Matiz,SANABEL AGRO,ROTAM AGROCHEMICAL(rival)
Tébuconazole,AZUROS,SLDA,SHARDA CROPCHEM Ltd
Tébuconazole,Tebucur,AGROSYSTEMES,GLOBACHEM
Tebuconazole+Prochloraz,Mystic Pro,AGRIPROTEC,NUFARM SAS
Tebuconazole+Prochloraz,Winner,BIOPROTECTION,NUFARM SAS
Tébuconazole +Trifloxystrobine,Nativo 300 SC,STEC,BAYER CROPSCIENCE
Thiabendazole,BENAZOLE,EXCEL AGRI,SHARDA CROPCHEM
Thiabendazole,TENAZOLE,SHARDA CROPCHEM Tunisie,SHARDA CROPCHEM
Trifloxystrobin,Zato 50 WG,ATLAS AGRICOLE,BAYER CROPSCIENCE
Trifloxystrobin,Flint,PROMOCHIMIE,BAYER CROPSCIENCE
Trichoderma Asperellum ICC012: +Trichoderma Gamsii ICC080:,REMEDIER WP,STIMA,ISAGRO SPA/GOWAN
Aclonifen,Challenge 600SC,EL MOUSSEM AGRICOLE,Bayer AG
Aclonifen,ACTION 60 SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM limited/
Aclonifen,COSTA SC,SANABEL AGRO,SHARDA CROPCHEM limited/
Aminopyralydes + Florasulam +2.4 D EHE,Nikos forte,ATLAS AGRICOLE,DOW AGROSCIENCES/ CORTEVA
Amidosulfuron + Iodosulfuron +MefempyrDiethyl,Sekator OD,AGRONOMIC Land,BAYER CROPSCIENCES
Aminopyralydes + Florasulam,Lancelot NEO 450 WG,SEPCM,DOW AGROSCIENCES
Arylex active(halauxifen-methyl) + pyroxsulam +cloquintocet acide,TARZEK + UPTAKE SL,COTUGRAIN,Dow Agrosciences
Cléthodime,Select Super,Non spécifié,Non spécifié
Cléthodime,Akodim 120 EC,SEPCM,AAKO
Diflufenican + Metsulfuron-méthyl,Alliance,BIOPROTECTION,NUFARM S.A
Diflufenican + Metsulfuron-méthyl,polymer WG,AGRIPROTEC,NUFARM S.A
Diflufenican +flufenacet,SC,BIOPROTECTION,UPL
Dimethenamid-P+Metazachlor +Quinmerac,BUTISAN AVANT SE,COTUGRAIN,BASF
Fluroxypyr +Clopyralid,KINVARA ME,AGRIPROTEC,BRACLAY
Propaquizafop,PRODIGE,FERTITECH,SHARDA CROPCHEM limited
Propaquizafop,KIFEN EC,SANABEL AGRO,SHARDA CROPCHEM limited
Propyzamide,CADDY SC,RAYEN PHYTAGRI,BARCLAY CHEMICALS Ltd
Trifluraline,Herbaline,SEPCM,AAKO
Trifluraline,RALINE 480 EC,EL KHADRA,JIANGSU
Acide gibbérellique +phenothiol,FENGIB EC,INNOVA,SIPCAM INAGRA S.A
Alkylphenolexy-Ethylène,Etaldyne 95,SEPCM,CMPA/Espagne
Aurebasidiumpillulan(2 souches) :DSM 14940 +DSM 14941,Blossom protect,STIMA,BIO FERM
Chlorprophame,Neostop 500 HN,PROTAGRI,AGRIPHAR
Huile de colza,codacide EO,AGRIMATCO,Mirocide Ltd
Hydrolysat de Protéines,CeraBait,EL MOUSSEM,EVIE MICHAAILIDES
Sodium lauryl ether sulfate (SLES),Biopower SL,ATLAS AGRICOLE,BAYER AG
Trichodermaharzianum T-22,Trianum –P,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEMS
Capsaicine +Ally Isothiocyanate,Dazitol,EL KHADRA,CHAMPION MILLENIUM CHEMICALS
Garlicextract,NEM guard SC,STIMA,Ecospraylimited
Brodifacoum,Klerat,AGRIPROTEC,SYNGENTA
Difenacoum,SOREXA PELLETS,AGRIPROTEC,BASF
Acétameprid,ACETADE FORT,SANABEL Agro,SHARDA CROPCHEM
Acrinathrine,"Rufast 7,5 EW",EL MOUSSEM AGRICOLE,CHEMINOVA
Acrinathrine,Orytis,ATLAS AGRICOLE,CHEMINOVA
Borax,Prev-am,EL MOUSSEM,ORO AGRI
Borax,Orotun,RAYEN PHYTAGRI,ORO AGRI
Chlorantraniliprole,Coragen 20 SC,SEPCM,DU PONT
Chlorpyri phos Ethyl,DELFOS 5G,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Chlorpyriphos Ethyl,LORSBAN 5G,INNOVA,Dow Agrosciences
Chlorpyriphos ethyl,Charter,SANABEL AGRO,SINON CORPORATION
Chlorpyriphos-Méthyl,Reldan 40 EC,INNOVA,DOW AGROSCIENCES
Chlorpyriphos-Méthyl,EXAQ EC,ATLAS AGRICOLE,DOW AGROSCIENCES
Cyperméthrine,Cymbush 10,AGRIPROTEC,PROBELTE
Cyperméthrine,Cirtan EC,COTUGRAIN IMPEX,ALCOTAN
Cypermethrine,Belem 0.8 MG,SEPCM,SBM FORMULATION
Cypermethrine,CYRUX,PROTAGRI,UPL
Cyromazine,Trigard,ETS MEZGHANI,INDUST. QUIMICA KEY
Fenazaquin,Pride 200,INNOVA,GOWAN
Fenpyroximate,FLASH UM,EL KHADRA,SIPCAM INAGRA
Malathion,Malathion 96,SEPCM,CHEMINOVA
Malathion,Fyfanon 50,SEPCM,CHEMINOVA
Malathion,Keythion,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Pyridalyl,Sumipleo50EC,AGRIMATCO,SUMITOMO
Pyrimicarbe,Piri,AGROSYSTEMES,GLOBACHEM
Pyrimicarbe,Tornado,AMINCO,GLOBACHEM
Pyrimiphos methyl,Actellic,AGRIPROTEC,SYNGENTA
Epoxiconazole,Opus,STIMA,BASF
Epoxiconazole,Soprano,SEPCM,AAKO
Epoxiconazole,Scooby doo,AMINCO,GLOBACHEM
Epoxiconazole,Spike,AGROSYSTEMES,GLOBACHEM
Epoxiconazole,Eponeo,AMINCO,Cheminova
Epoxiconazole,Orage,SANABEL AGRO,SINON CORPORATION
Epoxiconazole,Nupoxyn,EL MOUSSEM AGRICOLE,NUFARM
Mandipropamide +Mancozebe,Pergado MZ 65 WG,AGRIPROTEC,SYNGENTA
Propinèbe,Antracol,PROMOCHIMIE,BAYER CROPSCIENCE
Tebuconazole,Mycoseeds FS 60,EL KHADRA,Sharda World wide
Thiophanate-Méthyl,Methyl-T,BIOPROTECTION,ARYSTA LIFESCIENCE
Thiophanate-Méthyl,Lagrophanate 70,STEC,CEQUISA / PHOSPHONIA/UPL
Thiophanate-Méthyl,Aurige 70,EL KHADRHA,SIPCAM INAGRA
Thiophanate-Méthyl,Prolatop,EL MOUSSEM AGRICOLE,Nufarm
Thiophanate-Méthyl,SEGNOR 70 WP,SANABEL AGRO,UPL
Thiophanate-Méthyl,Mil Top,DELTA AGRICOLE PLUS,MEGHMANI INDUSTRIES
Thiophanate-Méthyl,Agriphanate,AGRIPROTEC,MEGHMANI INDUSTRIES
Thiophanate-Méthyl,Thiomil,PROTAGRI,MEGHMANI INDUSTRIES
Thiophanate-Méthyl,THIOPHANATE,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES
Thiophanate-Méthyl,Starnet 70 WG,PROMOCHIMIE,BAYER CROPSCIENCE
Thiophanate-methyl,TIOKEY WP,Ets MEZGHANI,HAILI GUIXI CHEMICAL PESTICIDE CO.LTD
Triadimenol + Spiroxamine + Tebuconazole,Falcon 460 SC,AGRONOMIC Land,BAYER CROPSCIENCE
Glyphosate,Clinic,BIOPROTECTION,ARYSTA LIFESCIENCE
Glyphosate,Fortin,SEPCM,DOW AGROSCIENCES
Glyphosate,Glyphotec,EL MOUSSEMAGRI.,NUFARM
Glyphosate,Cible,ETS MEZGHANI,Non spécifié
Glyphosate,Glyster,STEC,Non spécifié
Glyphosate,Agriatech,AGRIPROTEC,Non spécifié
Glyphosate,Maynozate,SANABEL AGRO,Non spécifié
Glyphosate,Glycel,AGROSYSTEMES,Non spécifié
Glyphosate,Glyphogan,AMINCO,Non spécifié
Glyphosate,Glitan,AGRIMATCO,Non spécifié
Glyphosate,Buggy,SOCOOPEC,Non spécifié
Glyphosate,GLISO 360,COTUGRAIN IMPEX,Non spécifié
Glyphosate,Mamba 360 SL,INNOVA,Non spécifié
Glyphosate,Glyweed,EL KHADRA,Non spécifié
Glyphosate,Diss,INNOVA,Non spécifié
Glyphosate,Tayara,EL MOUSSEM AGRI,NUFARM AMERICAS
Glyphosate,Kleen Up,BIOPROTECTION,NUFARM
Glyphosate,Glyphos,AGROSYSTEMES,Cheminova
Glyphosate,Pharon,INNOVA,NUFARM S.A
Glyphosate,Blanca,COTUGRAIN IMPEX,Sharda World Wide
Glyphosate,Weed Killer,EL KHADRA,Sharda World Wide
Glyphosate,Nasa 36 SL,SOCOOPEC,ZENITH CROPSCIENCES/agria
Glyphosate,DRAGON,FERTITECH,SHARDA CROPCHEM Lt
Non spécifié,CETUS,Non spécifié,Non spécifié
Phenamiphos,Nemacur 10 G,PROMOCHIMIE,AMVAC Chemical Corporation)
"Acetate d’ammonium + Trimethylamine HCl + 1,4-diaminobutane (Putrescine) + DDVP",MERCERATITE KEY,Ets MEZGHANI,Key
ESTERS SULFURIQUES,Hurricaine,EL MOUSSEM,SOCIETE OCCITANE DE FABRICATIONS ET
Métaldéhyde,LIMAGRAM,EL KHADRA,SIPCAM INAGRA
Metaldehyde,ALDEM 3% GR,AGRONOMIC Land,SHARDA
E3Z8Z11-14Ac + BHT,PHERONORM-TUTA,STIMA,ANDERMATT BIOCONTROL AG
Prohexadione-Calcium,Regalis,AGRIPROTEC,BASF
Abamectine,Diva 1.8 EW,EL MOUSSEM AGRICOLE,CHEMINOVA DANNEMARK
Abamectine,ACTROSE 18 EC,Ets MEZGHANI,ASTRACHEM ARABIE SAOUDITE
Acetamiprid + pyriproxyfen,CANVION310 DC,COTUGRAIN,Syngenta Crop Protection
Chlorpyriphosethyl,BONSOL,COTUGRAIN,SHARDA
ChlorpyriphosEthyl,Super Chlorpy,EL MOUSSEM,GHARDA
Chlorpyriphosethyl,PYRIFOS,FERTITECH,SHARDA
Chlorpyriphosethyl,Charter,SANABEL AGRO,SINON CORPORATION
ChlorpyriphosEthyl,Akocid 480 EC,STEC,AAKO
Emamectin benzoate,Emamectin SG,FERTIPLANT,Krishi rasayam
Etofenprox,TREBON EC,ATLAS AGRICOLE,SIPCAM INAGRA S.S
Etoxazole,Borneo 10 SC,BIOPROTECTION,SUMITOMO CHEMICHAL AGRO EUROPE S.A.S
"(E,Z,Z)-3,8,11-Tetradecadien -1- yl acetate( 53.8 mg/diffuseur) (E,Z)-3,8 –Tetradecad ien -1-yl acetate(6.2 mg/diffuseur)",SHIN –ETSU MD T,COTUGRAIN,Shin ETSU chemical/ CBC (EUROPE)
Fenazaquin 20%,QUEEN SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM LIMITED INDE
Fenazaquin 20%,QUEEN PRO SC,SHARDA CROPCHEM LIMITED TUNISIA,SHARDA CROPCHEM LIMITED INDE
Fenpyroximate,FLASH EVO,EL KHADRA,SIPCAM INAGRA (ancientfabricant: NIHON NOHYAKU Co. Ltd)
Flometoquin,GLADIUS 10 SC,EL MOUSSEM AGRICOLE,"Nippon kayaku Co.,Ltd/Summit Agro international Ltd"
Flonicamid,TEPPEKI WG,AGRIPROTEC,ISK Biosciences Europe N.V(fabricant)/upl( fournisseur)
Flonicamid,FLOPUS WG,NEGANOR FFT,NANJING(D)SHA ANXI HENGTIAN BIOLOGICAL Agriculture(fab)
Fluxametamide,GRACIA 100 EC,AGRIMATCO,NISSAN CHEMICAL CORPORATION
Helicoverpaarmigeranucleopolyhe drovirus,BOLLDEX SC,ALOHA Agriculture,ANDERMATT BIOCONTROL
Hexythiazox,Jalisco,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
Hexythiazox,Diablo,EL KHADHRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
Hexythiazox,Cesar,EL MOUSSEM AGRICOLE,"NIPPON SODA CO., LTD/ARYSTA/UP L"
Hexythiazox,Exitox,Ets MEZGHANI,INDUSTRIAL QUIMICA KEY
Hexythiazox,ACRUX SC,AGROSYSTEMES,Ascenza Agro
Hexythiazox,DIABLO MAX SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
Hexythiazox +Abamectine,ROCINANTE,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
Huile d’essence d’orange,OLEORA EC,BIOPROTECTION,UPL
Huile de paraffine,OVIPRON TOP,BIOPROTECTION,UPL
Huile de paraffinique,LAINCOIL EC,FERTITECH,LAINCO
Huile de paraffinique,OLEO CAP EC,NEGANOR,LAINCO
Huile de paraffinique,AGROIL BLEU EC,PROMOCHIMIE,SIPCAM INAGRA
Huile minérale,SunOIL,AGRIMATCO,PETRONAS LUBRICANTS BELGIUM NV
Huile minérale,Oviphyt,ATLAS INDUSTRIE,COMPTOIR COMMERCIAL DES LUBRIFIANTS/S ANGOSSE
Huile minérale,Citrole,EL MOUSSEM AGRICOLE,TotalEnergies Fluides
Huile minérale,Insecticida KEY,ETS MEZGHANI,IndustrialQuimica Key
Huile minérale,Plant oil,STE EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
Indoxacarb,PIXEL SC,FERTITECH,TOPAGRO BIOSCIENCE
Indoxacarb,POTER,PROTAGRI,NANJING AGROCHEMICA L
Indoxacarb,INDOXAL XTRA WDG,AGRINOVA,AGROBEATS TECH CHINE
Indoxacarb,VEROX WDG,SANABEL AGRO,AGROBEATS TECH CHINE
Indoxacarbe,OXAL SC,NEGANOR,Jingboagrochemicals technologie
Indoxacarbe,STARCARB,SSCC,GHARDA CHEMICALS LTD
Indoxacarb,INDO SUPER SC,Sté ELKHADRA,NINGBO SUNJOY AGROSCIENCE CO .LTD
Indoxacarb,Hoprole Xtra,DELTA AGRICOLE PLUS,Shandong weifang rainbow chemical0
Lufenuron,CIGNA 50 EC,COTUGRAIN IMPEX,SYNGENTA
Lufenuron,LIBERO,NEGANOR,Jingbo agrochemicals
Méthomyl,Lannate 25,SEPCM,DU PONT (Taiwan)
Spinosade,Spintor,ATLAS AGRICOLE,DOW AGROSCIENCE/corteva agriscience
Spirodiclofen,SPIRIDOR 240 SC,SHARDA CROPCHEM Tunisie,SHARDA CROPCHEM
Azoxystrobine +Difenoconazole,FULL TOP SC,NEGANOR,JIANGYIN SULI CHEMICALCO
Azoxystrobine +Epoxiconazole,TAZER XPERT SC,el moussem,NUFARM
Bupirimate,Nimrod,SEPCM,AAKO BV
Captane,CAPITOL 80 WG,AGRONOMIC LAND,SHARDA
Captane,Malvin80 WG,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Chlorothalonil +Tebuconazole,Tiger,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES
Chlorothalonil +Tebuconazole,CAMARO COMBI SC,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
Chlorothalonil +Tebuconazole,Timpani,EL MOUSSEM AGRICOLE,NUFARM
Chlorothalonil +Tebuconazole,SUPER PLAZMA SC,AGRIPROTEC,NUFARM
Chlorothalonil l +Dimethomophe,AVANTAGE CT,SANABEL Agro,ROTAM AGROCHEMICALS
Chlorothaonil,CLORTOSIP 500 SC,ATLAS AGRICOLE,SIPCAM INAGRA
Chlorothaonil,CHLORAMAX,SANABEL AGRO,SINON CORPORATION
Cuivre,Hydro Flo,BIOPROTECTION,NUFARM
Cyproconazole,Xpert WG,EL KHADRA,Sharda
Cyproconazole +Azoxystrobin,Priori Xtra,SOLAGRI,SYNGENTA
Cyproconazole +Propiconazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole +Propiconazole,TAZOLE 410 EC,EXCEL AGRI,SHARDA
Difenoconazole,CURYGEN EC,EL KHADRA,JSC AUGUST INC
Difenoconazole,PROZOLE 250 EC,Ets MEZGHANI,ASTRACHEM
Difenoconazole,RAYOK,HALAB TUNISIE,JSC AUGUST INC
Dithianon +Pyrachlostrobin,MACCANI,COTUGRAIN IMPEX,BASF
Dodine,Syllit 400 SC,PROTAGRI,ARYSTA Life Science Benelux / Belgique/UPL
Epoxiconazole,ceriazole SC,agriprotec,NUFARM
Epoxiconazole+Fluxapyroxad(xemium),ADEXAR XTRA EC,STIMA,BASF
Famoxadone + Mancozebe,Clip,AGRIMATCO,DU PONT INTERNATIONAL/corteva
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide,"
Mancozébe,MANCOFLASH,RAYEN PHYTAGRI,INDOFIL
Mancozèbe,Triziman 80,AGRIPROTEC,UPL
Mandipropamide +Difenoconazole,CARIAL TOP,BIOPROTECTION,SYNGENTA
Mandipropamide +Mancozebe,amphore gold WG,SOLAGRI,SYNGENTA
Mandipropamid+ Oxathiapiprolin,ORONDIS ULTRA280 SC,Cotugrain,Syngenta Crop Protection
Penconazole,Topenco 100 EC,AGROSYSTEMES,GLOBACHEM
Pencycuron,Monceren,PROMOCHIMIE,BAYER CROPSCIENCE/Gowan Crop Protection
Penthiopyrad,KABUTO,EL MOUSSEM,"Mitsui Chemicals Agro,Inc"
Propiconazole,VALEO 25 EC,delta agricole plus,Sharda cropchem
Propiconazole,Tilt 250,BIOPROTECTION,SYNGENTA
Proquinazid,Talendo,SEPCM,DU PONT
Prothioconazole,PROTEZOLE EC,SANABEL AGRO,SHARDA CROPCHEM
Prothioconazole,Mirage EC,SHARDA CROPCHEM tunisie,SHARDA CROPCHEM
Prothioconazole +benzovindiflupyr(SOLATENOL),CERATAVO ERA,BIOPROTECTION,SYNGENTA
Prothioconazole + Trifloxystrobine,Madison 263 SC,SEPCM,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,PROTECT PLUS EC,EXCEL AGRI,SHARDA CROPCHEM
Prothioconazole +Tebuconazole,Perfecto EC,SHARDA CROPCHEM tunisie,SHARDA CROPCHEM
Prothioconazole +Tebuconazole+Bixafen,SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG
Pyraclostrobine Metconazole,OPTIMO DUO EC,AGRIPROTEC,BASF
Pyraclostrobin + Boscalid,MIRACLE WDG,SHARDA CROPCHEM Tunisie,SHARDA CROPCHEM LIMITED
Pyriméthanil,PYRUS 400 SC,STEC,UPL
Pythium oligandrum 1*106oospores( 10-25% w/w) de polyversum,Non spécifié,ELEPHANT VERT EUROPE SA,USA
Tébuconazole,SPEEDY SC,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY/Cropidea
Thiophanate ethyl + Iprodione,Ipromise,BIOPROTECTION,ArystaLifescience
Thiophanate-Méthyl,thiophyl 50 SC,SHARDA CROPCHEM tunisie,sharda cropchem
Thiophanate-Méthyl,THIO 50 SC,COTUGRAIN,sharda cropchem
Thiophanate-Méthyl,THIOPHANATE M,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES
Thiophanate-Méthyl,rachet WP,agriprotec,Nufarm
Cléthodime,Select Super,BIOPRO,Non spécifié
Glyphosate,Fortin,ETS MEZGHANI,INDUSTRLQUIMICA
Terbuthylazine,TERBYNE 75 WG,EL KHADRA,SIPCAM INAGRA
Terbuthylazine,Terbuzine 75 WG,promochimie,SIPCAM INAGRA
Triflusulfuron methyl,SAFARI 50 WG,SEPCM,FMC
ACIBENZOLAR-S- METHYL,BION 50 WG,AGRIPROTEC,SYNGENTA
Prothioconazole +Tebuconazole,Perfecto EC,SHARDA,Non spécifié
Azoxystrobin + Flutriafol,CURAX EXTRA SC,Sharda Cropchem Tunisie,Sharda Cropchem limited
Prothioconazole + Tebuconazole + Spiroxamine,Soligor 425,ATLAS AGRICOLE,BAYER CROPSCIENCE
Abamectine,Numectin,AGRIPROTEC,NUFARM
Abamectine,LAOTTA,ATLAS AGRICOLE,LAINCO
Emamectin benzoate,PROFAST EC,PLANETE VERTE,ASTRACHEM/ASTRANOVA
Emamectin benzoate,JEMSTAR,FERTIPLANT,Krishlifescience
Emamectin Benzoate + Pyriproxyfen,PROXYSAFE EC,PLANETE VERTE,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Emamectin benzoate + Spinosad,SPANVIC PLUS SC,UNIAGRO,SHANDONG
Spiropidion,ELESTAL300 SC,Non spécifié,Non spécifié
Cuivre Métal,Hidrocobre 50 valles,SOCOOPEC,IQV DEL VALLES
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide, Co. Ltd/hangzhouTopagro Bioscience"
Fenpyrazamine,PROLECTUS 50WG,SEPCM,SUMITOMO CHEMICAL AGRO Europe
Pyraclostrobin +Boscalid,FOXTON 30 SC,AGRIMATCO,"LoatingYoloo Bio-Technology Co ,Ltd/chine"
Promocarb +Cymoxanil,proxanil 450 SC,BIOPROTECTION,arystalifescience
Promocarb +Cymoxanil,Rival duo 450 SC,AGRONOMIC Land,Agria
Propamocarbe +Fosethyl-Al,Previcur Energy,EL MOUSSEM,Non spécifié
Prothioconazole + Trifloxystrobine,DELARO DUO SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole + Spiroxamine,Cello,AGRONOMIC Land,BAYER CROPSCIENCE
Tebuconazole,KEYZOL SC,EL KHADRA,AVGUST CROP CORPORATION
Tébuconazole,Horizon 250 EW,PROMOCHIMIE,BAYER CROPSCIENCE
"(E,Z,Z)-3,8 ,11-Tetradecadien -1- yl acetate( 53.8 mg/diffuseur) (E,Z)-3,8 –Tetradecad ien -1-yl acetate(6.2 mg/diffuseur)",SHIN –ETSU MD T,COTUGRAIN,Shin ETSU chemical/ CBC (EUROPE)/BIOGARD
Abamectine,VARGAS ULTRA EC,SOLAGRI,"ROTAM CHEMISTRY CO.,Ltd/ALBAUGH"
Abamectine,Diva 1.8 EW,EL MOUSSEM AGRICOLE,CHEMINOVA
Chlorantraniliprole,COREGIS SC,PROMOCHIMIE,DU PONT/FMC
Chlorantraniliprole,CLEVEROLE SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Chlorantraniliprole,KORTEX,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Chlorantraniliprole + Emamectin benzoate,PROPROLE (SC),TASMID,"Nanjing Agrochemical Co., Ltd."
Chlorantraniliprole + lambdacyhalothrin,LASTROLE EC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Chlorantraniliprole + lambdacyhalothrin,PLIGO ZC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Chlorantraniliprole + Abamectine,VoliamTargo 063 SC,BIOPROTECTION,SYNGENTA
Chlorantraniliprole +LambdaCyhalothrine,BESIEGE 150 ZC,COTUGRAIN IMPEX,SYNGENTA
Cyflumetofen,DANIRANGER 10DC,AGRIMATCO,OAT AgrioCO.Ltd
Cyflumetofen,VELAR 20 SC,cotugrain,OAT agrio(fab)/Japo(LIDA PLANT RESEARCH/Fournisseur)
Cuivre Métal,CobreKey,ETS MEZGHANI,INDUSTRI.
Hydroxyde de cuivre +Métalaxyl,CYCLO-R-LIQUIDE,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Kreoxim-methyl,SUGOBY WG,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE"
Krésoxim-méthyl,QUIMERA WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Krésoxim-méthyl,ALLIAGE DF,AGRIMATCO,BASF
Krésoxim-méthyl,Kresoxystar 350SC,Ets Mezghani,ANHUI HUAXING CHEMICAL INDUSTRY CO.Ltd/CHINE( Nanjing agrochemical
Tebuconazole,TEBUSHA 6 FS,AGRINOVA,Sharda World wide
Tebuconazole,COLOSSAL,Non spécifié,Non spécifié
"Bacillus thuringiensis (spKurstaki),souche ABTS-351",touta stop WP,ets mezghani,industrial quimica key
Tefluthrine,VOLTRA 0.5 G,COTUGRAIN,SYNGENTA
Thiamétoxam,THIAMEX 25 WG,SLDA,United Phosphorus Ltd
Thiamétoxam,Renova,PROTAGRI,United Phosphorus Ltd
Benzovindiflupyr +Azoxystrobin +Propiconazole,ELATUSTM Arc SE,SOLAGRI,SYNGENTA AGRO AG
Borax,Orotun,RAYEN PHYTAGRI,Non spécifié
Captane,FILDER,EL MOUSSEM,ARYSTA LIFESCIENCE/UPL
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA
Difenoconazole+propiconazole,NANJI PLUS EC,STEC,JIANGYIN FENGDENG CROP SCIENCE CO
Difenoconazole + Fludioxonil +Sedexane,Vibrance Gold,BIOPROTECTION,SYNGENTA
Epoxiconazole + Fenpropimorph,EPIC TOP SE,COTUGRAIN,BASF
Epoxiconazole + Kresoxim-methyl,ALLEGRO,AGRIMATCO,BASF
Epoxiconazole + Kresoxim-methyl,Ogam,STIMA,BASF
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide, Co. Ltd"
Fludioxonil +Cyprodinil,"switch 62,5 WG",BIOPROTECTION,SYNGENTA
Fluopyram + Tebuconazole,Luna Experience 400 SC,SEPCM,BAYER CROPSCIENCE
Propamocarbe +Fosethyl- Al,Filex Energy,ATLAS AGRICOLE,BAYER CROPSCIENCE
Propamocarbe +Fosethyl- Al,Previcur Energy,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Propiconazole,syterna EC,ets mezghani,fengdeng usa
Propiconazole,BANNER EC,AGRIPLUS,HEBEI VEYONG BIO-CHEMICAL CO.LTD
Propiconazole,MATADOR PLUS EC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
Propiconazole +Cyproconazole,Alto super,BIOPROTECTION,SYNGENTA
Propiconazole +Tebuconazole,Colossal Pro,EL KHADRA,AUGUST CROPROTECTION
Pyraclostrobine,BAUXIT,STIMA,BASF
pyraclostrobine+epoxiconazole,RETENGO PLUS EC,Rayen phytagri,BASF
Pyraclostrobin +boscalid,Crystal SC,FERTITECH,HANGZHOU
Tebuconazole,COLOSSAL,HALAB TUNISIE,AVGUST CROP CORPORATION
Tébuconazole,Konan EW,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Tébuconazole,TEBUZOL 25 EW,Agriprotec,UPL LIMITED
Tebuconazole +Prochloraz,Mystic Pro,AGRIPROTEC,NUFARM SAS
Tebuconazole +Prochloraz,Winner,BIOPROTECTION,NUFARM SAS
Trichoderma atroviride 77B,T-77 WP,Aloha agriculture,Plant Health Products (phy)
Trifluraline,HERBASTAR EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
Trifluraline,Flural,Ets MEZGHANI,INDUSTRIAL Q.
M,ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA
Iprovalicarbe + Oxychlorure de cuivre,Positron 49,ATLAS AGRICOLE,BAYER CROPSCIENCE
