Catégorie,Substance Active,Concentration,Formulation,Produit Commercial,Numéro Homologation,Société,Fabricant,Année,eu_overall_status,eu_match_count,eu_checked_substances,eu_matched_names,eu_status_details,eu_errors
INECTICIDE,Acétameprid,70 %,SP,Polysect,I.004-16,SOCOOPEC,SHARDA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Acétameprid,Acetamiprid,Acétameprid:EU_APPROVED,
INECTICIDE,Acétameprid,70 %,SP,ACETADE FORT,I.009-17,SANABEL Agro,SHARDA CROPCHEM,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Acétameprid,Acetamiprid,Acétameprid:EU_APPROVED,
INECTICIDE,Acrinathrine,75 g/L,EW,"Rufast 7,5 EW",A.013-11,EL MOUSSEM AGRICOLE,CHEMINOVA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Acrinathrine,Acrinathrin,Acrinathrine:EU_NOT_APPROVED,
INECTICIDE,Acrinathrine,75 g/L,EW,Orytis,I.135-11,ATLAS AGRICOLE,CHEMINOVA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Acrinathrine,Acrinathrin,Acrinathrine:EU_NOT_APPROVED,
INECTICIDE,Acrinathrine + Abamectine,22.5 g/l+ 12.6 g/l,EW,TRIPSOL EW,I.010-19,AGROSYSTEME,cheminova,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Acrinathrine + Abamectine,Abamectin (aka avermectin),Acrinathrine + Abamectine:EU_APPROVED,
INECTICIDE,Alphaméthrine,1 0 0 g / L,E C,B e stox Bonbard,I.014-11 I.176-11,SEPCM COTUGRAIN IMPEX,FMC BASF,2020,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,0,Alphaméthrine,,Alphaméthrine:NOT_IN_EU_LIST,
INECTICIDE,Ametoctradine,200 g/l,SC,SNOOKER SC,F.003-19,STIMA,BASF,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Ametoctradine,Ametoctradin,Ametoctradine:EU_APPROVED,
INECTICIDE,Azadirachtine,32 g/L,EC,Oïkos EC Fortune AZA,I.019-11 I.017-11,INNOVA EL KHADRA,NUFARM AFRASA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Azadirachtine,Azadirachtin (Margosa extract),Azadirachtine:EU_APPROVED,
INECTICIDE,Azadirachtine,32 g/L,EC,Oïkos EC Azar Fortune AZA,I.019-11 I.018-11 I.017-11,INNOVA ETS MEZGHANI EL KHADRA,NUFARM IND.QUIMICA KEY AFRASA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Azadirachtine,Azadirachtin (Margosa extract),Azadirachtine:EU_APPROVED,
INECTICIDE,"Azadirachtine (0,03 %) + 90,5% huile de neem","0 ,3 g/L",EC,Nimbicidine,I.160-11,TASMID,T. STANES & Co.Ltd.,2020,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,1,Azadirachtine (0 | PERCENT ) + 90 | PERCENT huile de neem,Azadirachtin (Margosa extract),Azadirachtine (0:EU_APPROVED | PERCENT ) + 90:NOT_IN_EU_LIST | PERCENT huile de neem:NOT_IN_EU_LIST,
INECTICIDE,Azadirachtine,32 g/L,EC,OIKOS MAX,I.004-20,EL KHADRA,SIPCAM INAGRA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Azadirachtine,Azadirachtin (Margosa extract),Azadirachtine:EU_APPROVED,
INECTICIDE,Bacillus thuringiensis Bacillus thuringiensis,1 6 0 0 0 UI/mg,W P,D i p e l P . M Ecotech-BIO,I.023-11 I.024-11,BIOPROTECTION EL MOUSSEM AGRICOLE,VALENT BIOSCIENCE CORPORATION YPSILON S.A,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bacillus thuringiensis Bacillus thuringiensis,Bacillus thuringiensis subsp. Kurstaki strain EG2348,Bacillus thuringiensis Bacillus thuringiensis:EU_APPROVED,
INECTICIDE,Bacillus thuringiensis Bacillus thuringiensis,1 6 0 0 0 UI/mg,W P,Bactospeine 16000,I.027-11,SEPCM,VALENT BIOSCIENCE CORPORATION,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bacillus thuringiensis Bacillus thuringiensis,Bacillus thuringiensis subsp. Kurstaki strain EG2348,Bacillus thuringiensis Bacillus thuringiensis:EU_APPROVED,
INECTICIDE,Bacillus thuringiensis Bacillus thuringiensis,1 6 0 0 0 UI/mg,W P,Dipel PM Ecotech-Bio Bactospeine 16000,I.023-11 I.024-11 I.027-11,BIOPROTECTION EL MOUSSEM AG SEPCM,VALENT BIOSCIENCE CORPORATION YPSILON S.A VALENT BIOSCIENCE CORPORATION,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bacillus thuringiensis Bacillus thuringiensis,Bacillus thuringiensis subsp. Kurstaki strain EG2348,Bacillus thuringiensis Bacillus thuringiensis:EU_APPROVED,
INECTICIDE,"Bacillus thuringiensis (sp Kurstaki),souche ABTS- 351",32000 UI/MG,WG,BACTOSPINE DF,I.017-19,SEPCM,VALENT BIOSCIENCE CORPORATION,2020,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,1,Bacillus thuringiensis (sp Kurstaki) | souche ABTS- 351,Bacillus thuringiensis subsp. Kurstaki strain EG2348,Bacillus thuringiensis (sp Kurstaki):EU_APPROVED | souche ABTS- 351:NOT_IN_EU_LIST,
INECTICIDE,Bacillus thuringiensis,32000UI/mg,WG,Delfin WG,I.131-11,AGROSYSTEMES,CERTIS,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bacillus thuringiensis,Bacillus thuringiensis subsp. Kurstaki strain EG2348,Bacillus thuringiensis:EU_APPROVED,
INECTICIDE,Bifenazate,240 g/l,SC,FLORAMITE 240 SC,I.008-16,AGRIMATCO,CHEMTURA/ARYSTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bifenazate,Bifenazate,Bifenazate:EU_APPROVED,
INECTICIDE,Bifenazate,"494,8 g/L",SC,Acramite 480 SC,IA.030-11,SEPCM,CHEMTURA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bifenazate,Bifenazate,Bifenazate:EU_APPROVED,
INECTICIDE,Bifenazate,50%,WG,BANTER WG,I.003-19,AGRIPROTEC,UPL limited,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Bifenazate,Bifenazate,Bifenazate:EU_APPROVED,
INECTICIDE,Borax,10 g/L,SL,Prev-am Orotun,I.A.F.031-11 I.A.F.017-16,EL MOUSSEM RAYEN PHYTAGRI,ORO AGRI ORO AGRI,2020,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,0,Borax,,Borax:NOT_IN_EU_LIST,
INECTICIDE,Chlorantraniliprole,200 G/L,SC,Coragen 20 SC,I.033-11,SEPCM,DU PONT,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Chlorantraniliprole,Chlorantraniliprole,Chlorantraniliprole:EU_APPROVED,
INECTICIDE,Chlorantraniliprole + Abamectine,45 g/L +18g/L,SC,Voliam Targo 063 SC,I.034-11,BIOPROTECTION,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Chlorantraniliprole + Abamectine,Chlorantraniliprole,Chlorantraniliprole + Abamectine:EU_APPROVED,
INECTICIDE,Chlorantraniliprole + LambdaCyhalothrine,100 g/L+ 50 g/L,SC,Ampligo 150 ZC,I.174-11,AGRIPROTEC,SYNGENTA/,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Chlorantraniliprole + LambdaCyhalothrine,Chlorantraniliprole,Chlorantraniliprole + LambdaCyhalothrine:EU_APPROVED,
INECTICIDE,Chlorantraniliprole + LambdaCyhalothrine,100 g/L+ 50 g/L,SC,BESIEGE 150 ZC,I.009-18,COTUGRAIN IMPEX,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Chlorantraniliprole + LambdaCyhalothrine,Chlorantraniliprole,Chlorantraniliprole + LambdaCyhalothrine:EU_APPROVED,
INECTICIDE,Chlorantraniliprole + Thiamethoxam,100 g/L + 200 g/L,SC,Illicos Flexi 300 SC,I.035-11,EL MOUSSEM AGRICOLE,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Chlorantraniliprole + Thiamethoxam,Chlorantraniliprole,Chlorantraniliprole + Thiamethoxam:EU_APPROVED,
INECTICIDE,Chlorantraniliprole + Thiamethoxam,100 g/L + 200 g/L,SC,DURIVO,I.006-18,SOLAGRI,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Chlorantraniliprole + Thiamethoxam,Chlorantraniliprole,Chlorantraniliprole + Thiamethoxam:EU_APPROVED,
INECTICIDE,Chlorpyriphos Ethyl,5%,GR,Duracid 5G Lorvek 5 G,I.157-11 I.014-13,SEPCM ATLAS AGRICOLE,Dow Agrscience Dow Agroscience,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos Ethyl,Chlorpyrifos,Chlorpyriphos Ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos Ethyl,5%,GR,DURSBAN 5G (NouvelleD.C de LORSBAN 5G),I.156-11,INNOVA,Dow Agrosciences,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos Ethyl,Chlorpyrifos,Chlorpyriphos Ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyri phos Ethyl,5%,GR,DELFOS 5G,I.038-11,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyri phos Ethyl,Chlorpyrifos,Chlorpyri phos Ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos Ethyl,4 8 0 g / L,E C,P y r i c a l 4 8 0 EC,I.039-11,BIOPROTECTION,ARYSTA LIFESCIENCE,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos Ethyl,Chlorpyrifos,Chlorpyriphos Ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos Ethyl,4 8 0 g / L,E C,Delfos Duracid Fostan Dursban 4 E Robust 480 EC Akofos 480 EC Super Chlorpy Lorvek 480 EC,I.040-11 I.042-11 I.137-11 I.144-11 I.159-11 I.172-11 I.163-11 I.006-14,ETS MEZGHANI STEC COTUGRAIN INNOVA ATLAS INDUSTRIE SEPCM EL MOUSSEM ATLAS AGRICOLE,INDUSTRIAL QUIMICA KEY DOW AGROSCIENCES ALCOTAN DOW AGROSCIENCES COROMANDEL AAKO/ PAYS BAS GHARDA CHEMICALS/ DOW AGROSCIENCES,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos Ethyl,Chlorpyrifos,Chlorpyriphos Ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos ethyl,480g/l,EC,Starphos,I.003-16,SOCOOPEC,SHARDA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos ethyl,Chlorpyrifos,Chlorpyriphos ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos ethyl,480g/l,EC,BONSOL,I.014-19,COTUGRAIN,SHARDA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos ethyl,Chlorpyrifos,Chlorpyriphos ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos ethyl,480g/l,EC,PYRIFOS,I.016-19,FERTITECH,SHARDA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos ethyl,Chlorpyrifos,Chlorpyriphos ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos ethyl,480g/l,EC,CASTEL 48 EC,I.007-17,AGRONOMIC Land,SHARDA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos ethyl,Chlorpyrifos,Chlorpyriphos ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos ethyl,480g/l,EC,Charter,I.007-16,SANABEL AGRO,SINON CORPORATION,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos ethyl,Chlorpyrifos,Chlorpyriphos ethyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos-Méthyl,400 g/L,EC,Reldan 40 EC,I.145-11,INNOVA,DOW AGROSCIENCES,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos-Méthyl,Chlorpyrifos-methyl,Chlorpyriphos-Méthyl:EU_NOT_APPROVED,
INECTICIDE,Chlorpyriphos-Méthyl,400 g/L,EC,EXAQ EC,I.008-17,ATLAS AGRICOLE,DOW AGROSCIENCES,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chlorpyriphos-Méthyl,Chlorpyrifos-methyl,Chlorpyriphos-Méthyl:EU_NOT_APPROVED,
INECTICIDE,Chorpyriphos + Gamma –cyhalothrin,300 g/l + 10 g/l,EC,BOLTON EC,I.009-19,AGRIPROTEC,CHEMINOVA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chorpyriphos + Gamma –cyhalothrin,Cyhalothrin,Chorpyriphos + Gamma –cyhalothrin:EU_NOT_APPROVED,
INECTICIDE,Chromafénozide,5 0 g / L,EC,Matric,I.044-11,BIOPROTECTION,ARYSTA LIFESCIENCE,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Chromafénozide,Chromafenozide,Chromafénozide:EU_NOT_APPROVED,
INECTICIDE,Clofentezine,500 g/L,SC,Apollo 50,A.045-11,STEC,AAKO BV,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Clofentezine,Clofentezine,Clofentezine:EU_NOT_APPROVED,
INECTICIDE,Cyantraniliprole,100 G/L,OD,Benevia,I.014-16,AGRIMATCO,DU PONT,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cyantraniliprole,Cyantraniliprole,Cyantraniliprole:EU_APPROVED,
INECTICIDE,Cyperméthrine,2 5 0 g / L,E C,C y p e r c a l 2 5 0 E C,I.046-11,BIOPROTECTION,ARYSTA LIFESCIENCE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cyperméthrine,Cypermethrin,Cyperméthrine:EU_APPROVED,
INECTICIDE,Cypermethrine,250 g/L,EC,SYNCHRO,I.004-15,EL KHADRA,SHARDA WORLDWIDE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cypermethrine,Cypermethrin,Cypermethrine:EU_APPROVED,
INECTICIDE,Cypermethrine,250 g/L,EC,CYPERFAN 25 EC,I.004-17,FERTIPLANT,SHARDA WORLDWIDE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cypermethrine,Cypermethrin,Cypermethrine:EU_APPROVED,
INECTICIDE,Cyperméthrine,100 g/L,EC,Cymbush 10 Selene Cirtan EC Sherpa,I.047-11 I.048-11 I.138-11 I.146-11,AGRIPROTEC ETS. MEZGHANI COTUGRAIN IMPEX JADWA AGROTEC,PROBELTE INDUSTRIAL QUIMICA KEY ALCOTAN CMPA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cyperméthrine,Cypermethrin,Cyperméthrine:EU_APPROVED,
INECTICIDE,Cypermethrine,0.86 %,MG,Belem 0.8 MG,002-16 I.,SEPCM,SBM FORMULATION,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cypermethrine,Cypermethrin,Cypermethrine:EU_APPROVED,
INECTICIDE,Cypermethrine,100 g/l,EC,CYRUX,I.003-17,PROTAGRI,UPL,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Cypermethrine,Cypermethrin,Cypermethrine:EU_APPROVED,
INECTICIDE,Cyromazine,7 5 %,W P,T r i g a r d,I.050-11,BIOPROTECTION,SYNGENTA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Cyromazine,Cyromazine,Cyromazine:EU_NOT_APPROVED,
INECTICIDE,Deltaméthrine,2 5 g / L,E C,D e l t a Decis EC 25 Deltacal Fruithrine,I.055-11 I.054-11 I.053-11 I.166-11,STEC EL MOUSSEM AGRICOLE BIOPROTECTION PROTAGRI,BAYER CROPSCIENCE BAYER CROPSCIENCE ARYSTA LIFESCIENCE United Phosphorus Ltd,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltaméthrine,Deltamethrin,Deltaméthrine:EU_APPROVED,
INECTICIDE,Deltamethrine,25 g/l,EC,Sergent,I.006-15,SOCOOPEC,SHARDA WORLDWIDE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltamethrine,Deltamethrin,Deltamethrine:EU_APPROVED,
INECTICIDE,Deltamethrine,25 g/l,EC,Delmitox,16-011I.,SANABEL AGRO,SHARDA CROPCHEM,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltamethrine,Deltamethrin,Deltamethrine:EU_APPROVED,
INECTICIDE,Deltamethrine,25 g/l,EC,Dextra 25 EC,16-016I.,RAYEN PHYTAGRI,TAGROS CHEMICALS,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltamethrine,Deltamethrin,Deltamethrine:EU_APPROVED,
INECTICIDE,Deltamethrine,25 g/l,EC,SCATTO EC,I.013-19,STIMA,ISAGRO SPA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltamethrine,Deltamethrin,Deltamethrine:EU_APPROVED,
INECTICIDE,Deltamethrine,25 g/l,EC,D66,I.003-15,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltamethrine,Deltamethrin,Deltamethrine:EU_APPROVED,
INECTICIDE,Deltamethrine,15 g/l,EC,Atrium,16-012I.,SANABEL AGRO,ROTAM AGROCHEMICALS,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltamethrine,Deltamethrin,Deltamethrine:EU_APPROVED,
INECTICIDE,Deltaméthrine,1 0 0 g/L,EC,Decis Expert,I.056-11,ATLAS AGRICOLE,BAYER CROPSCIENCE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Deltaméthrine,Deltamethrin,Deltaméthrine:EU_APPROVED,
INECTICIDE,Diafenthiuron,5 0 0 g / L,S C,P e g a s u s 500 SC,I.057-11,BIOPROTECTION,SYNGENTA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Diafenthiuron,Diafenthiuron,Diafenthiuron:EU_NOT_APPROVED,
INECTICIDE,Diflubenzuron,5 0 0 g / L,S C,Dimilin,I.058-11,STEC,CHEMTURA AGRO SOLUTIONS,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Diflubenzuron,Diflubenzuron,Diflubenzuron:EU_NOT_APPROVED,
INECTICIDE,Diméthoate,4 0 0 g / L,E C,B i o m a t Perfecthion Daphene fort Phytoate,I.059-11 I.062-11 I.061-11 I.009-15,BIOPROTECTION STIMA SEPCM STEC,ARYSTA LIFESCIENCE BASF CHEMINOVA /FMC CHEMINOVA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Diméthoate,Dimethoate,Diméthoate:EU_NOT_APPROVED,
INECTICIDE,Diméthoate,4 0 0 g / L,E C,D i m e t h o n,I.060-11,ETS MEZGHANI,INDUST. QUIMICA KEY,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Diméthoate,Dimethoate,Diméthoate:EU_NOT_APPROVED,
INECTICIDE,Emamectin benzoate,5%,SG,Proclaim 05 SG,I.063-11,BIOPROTECTION,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Emamectin benzoate,Emamectin,Emamectin benzoate:EU_APPROVED,
INECTICIDE,Emamectin benzoate,50 g/L,EC,Proact 50 EC,I.128-11,TASMID,ASTRACHEM,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Emamectin benzoate,Emamectin,Emamectin benzoate:EU_APPROVED,
INECTICIDE,Etofenprox,300 g/l,EC,TREBON EC,I.012-19,ATLAS AGRICOLE,SIPCAM INAGRA S.S,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Etofenprox,Etofenprox,Etofenprox:EU_APPROVED,
INECTICIDE,Etoxazole Famille chimique : oxazolines,110g/l,SC,Borneo 10 SC,I.A.017-17,BIOPROTECTION,SUMITOMO CHEMICHAL AGRO EUROPE S.A.S,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Etoxazole Famille chimique : oxazolines,Etoxazole,Etoxazole Famille chimique : oxazolines:EU_APPROVED,
INECTICIDE,Farnesol + Nerolidol + Geraniol,"1,6 g/L + 4 g/L + 4 g/L",EC,Killmite,IA.064-11,BIOPROTECTION,ARYSTA LIFESCIENCE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Farnesol + Nerolidol + Geraniol,Geraniol,Farnesol + Nerolidol + Geraniol:EU_APPROVED,
INECTICIDE,Fenazaquin,200 g/L,SC,Pride 200,A.158-11,INNOVA,GOWAN Espagne,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Fenazaquin,Fenazaquin,Fenazaquin:EU_APPROVED,
INECTICIDE,Fenazaquin,200 g/L,SC,MAGISTER,A.I.003-20,SEPCM,GOWAN Espagne,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Fenazaquin,Fenazaquin,Fenazaquin:EU_APPROVED,
INECTICIDE,Fenoxycarbe,25%,WG,Insegar 25 WG Hagar,I.066-11 I.065-11,EL MOUSSEM AGROSYSTEMES,SYNGENTA GLOBACHEM,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Fenoxycarbe,Fenoxycarb,Fenoxycarbe:EU_NOT_APPROVED,
INECTICIDE,Fenoxycarb + Lufenuron,75 g/L + 30 g/L,EC,Lufox 105 EC,I.067-11,BIOPROTECTION,SYNGENTA,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Fenoxycarb + Lufenuron,Lufenuron,Fenoxycarb + Lufenuron:EU_NOT_APPROVED,
INECTICIDE,Fenpyroximate,5 0 g / L,S C,M i t a cid,I.010-15,INNOVA,SIPCAM INAGRA (ancient fabricant: NIHON NOHYAKU Co. Ltd),2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Fenpyroximate,Fenpyroximate,Fenpyroximate:EU_APPROVED,
INECTICIDE,Fenpyroximate,5 0 g / L,S C,F L A SH UM,I.012-18,EL KHADRA,SIPCAM INAGRA (ancient fabricant: NIHON NOHYAKU Co. Ltd),2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Fenpyroximate,Fenpyroximate,Fenpyroximate:EU_APPROVED,
INECTICIDE,Flubendiamide,2 0 %,WG,Takumi 20 WG,I.070-11,EL MOUSSEM AGRICOLE,NIHON NOHYAKU Co. Ltd / SUMMIT AGRO INTERNATIONAL,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Flubendiamide,Flubendiamide,Flubendiamide:EU_NOT_APPROVED,
INECTICIDE,Flufénoxuron,1 0 0 g / L,EC,Qatar,I.071-11,AGROSYSTEMES,GLOBACHEM,2020,CONTAINS_NOT_APPROVED_SUBSTANCE_IN_EU,1,Flufénoxuron,Flufenoxuron,Flufénoxuron:EU_NOT_APPROVED,
INECTICIDE,Fluopyram,400 g/l,SC,VELUM PRIME 400 SC,IN.002-19,ATLAS AGRICOLE,BAYER AG,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Fluopyram,Fluopyram,Fluopyram:EU_APPROVED,
