Substance_Tunisie,Correspondance_UE,Statut_UE,Methode_Resolution
BENZOVINDIFLUPYR (SOLATENOL),Benzovindiflupyr,Approved,Exact
BIFENAZATE,Bifenazate,Approved,Exact
BIXAFEN,Bixafen,Approved,Exact
BOSCALID,Boscalid (formerly nicobifen),Approved,Exact
BOUILLIE BORDELAISE,Bordeaux mixture,Approved,Exact
BUPIRIMATE,Bupirimate,Approved,Exact
CARFENTRAZONE-ETHYL,Carfentrazone-ethyl,Approved,Exact
CHLORANTRANILIPROLE,Chlorantraniliprole,Approved,Exact
CHLOROTOLURON,Chlorotoluron,Approved,Exact
CLOMAZONE,Clomazone,Approved,Exact
CLOPYRALID,Clopyralid,Approved,Exact
CYANTRANILIPROLE,Cyantraniliprole,Approved,Exact
CYAZOFAMID,Cyazofamid,Approved,Exact
CYFLUFENAMID,Cyflufenamid,Approved,Exact
CYFLUMETOFEN,Cyflumetofen,Approved,Exact
CYMOXANIL,Cymoxanil,Approved,Exact
CYPRODINIL,Cyprodinil,Approved,Exact
DICAMBA,Dicamba,Approved,Exact
DIFENOCONAZOLE,Difenoconazole,Approved,Exact
DIFLUFENICAN,Diflufenican,Approved,Exact
DIMETHENAMID-P,Dimethenamid-P,Approved,Exact
DITHIANON,Dithianon,Approved,Exact
DODINE,Dodine,Approved,Exact
ETHOFUMESATE,Ethofumesate,Approved,Exact
ETOFENPROX,Etofenprox,Approved,Exact
ETOXAZOLE,Etoxazole,Approved,Exact
FENAZAQUIN,Fenazaquin,Approved,Exact
FENOXAPROP-P-ETHYL,Fenoxaprop-P-ethyl,Approved,Exact
FENPYROXIMATE,Fenpyroximate,Approved,Exact
FLONICAMID,Flonicamid (IKI-220),Approved,Exact
FLUAZINAM,Fluazinam,Approved,Exact
FLUOPICOLIDE,Fluopicolide,Approved,Exact
FLUOPYRAM,Fluopyram,Approved,Exact
FLUPYRADIFURONE,Flupyradifurone,Approved,Exact
FLUROXYPYR,Fluroxypyr,Approved,Exact
FLUROXYPYR (ESTER1-METHYLHEPTYL),Fluroxypyr,Approved,Exact
FLUXAPYROXAD (XEMIUM),Fluxapyroxad,Approved,Exact
GARLIC EXTRACT,Garlic extract,Approved,Exact
GLYPHOSATE,Glyphosate,Approved,Exact
HALAUXIFEN-METHYL,Halauxifen-methyl,Approved,Exact
HELICOVERPA ARMIGERA NUCLEOPOLYHEDROVIRUS,Helicoverpa armigera nucleopolyhedrovirus (HearNPV),Approved,Exact
HEXYTHIAZOX,Hexythiazox,Approved,Exact
IODOSULFURON,Iodosulfuron,Approved,Exact
ISOFETAMID,Isofetamid,Approved,Exact
ESFENVALERATE,Esfenvalerate,Approved,Exact
LAMINARIN,Laminarin,Approved,Exact
LENACIL,Lenacil,Approved,Exact
MALATHION,Malathion,Approved,Exact
MEFENTRIFLUCONAZOLE,Mefentrifluconazole,Approved,Exact
METALAXYL,Metalaxyl,Approved,Exact
METALDEHYDE,Metaldehyde,Approved,Exact
METCONAZOLE,Metconazole,Approved,Exact
METRAFENONE,Metrafenone,Approved,Exact
METSULFURON METHYL,Metsulfuron-methyl,Approved,Exact
MILBEMECTIN,Milbemectin,Approved,Exact
OXATHIAPIPROLIN,Oxathiapiprolin,Approved,Exact
PENCONAZOLE,Penconazole,Approved,Exact
PHENMEDIPHAM,Phenmedipham,Approved,Exact
PINOXADEN,Pinoxaden,Approved,Exact
PROPAQUIZAFOP,Propaquizafop,Approved,Exact
PROPYZAMIDE,Propyzamide,Approved,Exact
PROQUINAZID,Proquinazid,Approved,Exact
PROSULFURON,Prosulfuron,Approved,Exact
PROTHIOCONAZOLE,Prothioconazole,Approved,Exact
PYRAFLUFEN-ETHYL,Pyraflufen-ethyl,Approved,Exact
PYRIMETHANIL,Pyrimethanil,Approved,Exact
PYRIOFENONE,Pyriofenone,Approved,Exact
PYROXSULAM,Pyroxsulam,Approved,Exact
QUINMERAC,Quinmerac,Approved,Exact
SEDAXANE,Sedaxane,Approved,Exact
SOUFRE,Sulphur,Approved,Exact
SPIROXAMINE,Spiroxamine,Approved,Exact
SULFOXAFLOR,Sulfoxaflor,Approved,Exact
TEBUCONAZOLE,Tebuconazole,Approved,Exact
TEBUFENOZIDE,Tebufenozide,Approved,Exact
TERBUTHYLAZINE,Terbuthylazine,Approved,Exact
THIABENDAZOLE,Thiabendazole,Approved,Exact
TRITICONAZOLE,Triticonazole,Approved,Exact
ZOXAMIDE,Zoxamide,Approved,Exact
BACILLUS THURINGIENSIS KURSTAKI,Bacillus thuringiensis subsp. Kurstaki strain EG2348,Approved,Manual
FLUAZAINDOLZINE,Fluazaindolizine,Pending,Fuzzy (Similitude)
REYNOUTRIA SACHALINENSIS,Reynoutria sachalinensis extract,Pending,Fuzzy (Similitude)
TRICHODERMAHARZIANUM T-22,Trichoderma harzianum T78,Pending,Fuzzy (Similitude)
Allyl isothiocyanate,Allyl isothiocyanate,Not approved,Manual
ALPHACYPERMETHRINE,Alpha-Cypermethrin (aka alphamethrin),Not approved,Fuzzy (Similitude)
ALPHAMETHRINE,Alpha-Cypermethrin (aka alphamethrin),Not approved,Fuzzy (Similitude)
CARBANDAZIME,Carbendazim,Not approved,Fuzzy (Similitude)
CHLOROPROPHAME,Chlorpropham,Not approved,Fuzzy (Similitude)
CHLORPYRIPHOS ETHYL,Chlorpyrifos,Not approved,Fuzzy (Similitude)
CHLORPYRIPHOS-METHYL,Chlorpyrifos-methyl,Not approved,Fuzzy (Similitude)
CUIVRE,Copper compounds,Approved,Manual
CUIVRE (OXYCHLORURE DE CUIVRE),Copper oxychloride,Approved,Manual
DESMEDOPHAM,Desmedipham,Not approved,Fuzzy (Similitude)
DIMETHOMOPHE,Dimethomorph,Not approved,Fuzzy (Similitude)
IMIDACHLOPRIDE,Imidacloprid,Not approved,Fuzzy (Similitude)
NAPHOXY 2ACETAMIDE,2-Naphthyloxyacetamide,Not approved,Fuzzy (Similitude)
PHENAMIPHOS,Fenamiphos (aka phenamiphos),Not approved,Fuzzy (Similitude)
PHENOTHIOL,Phenothiol (MCPA-thioethyl),Not approved,Not Evaluated
SODIUM LAURYL ETHER SULFATE (SLES),Sodium lauryl sulphate,Not approved,Fuzzy (Similitude)
THIOPHANATE ETHYL,Thiophanate-ethyl,Not approved,Manual
BACILLUS AMYLOLIQUEFACIENS SOUCHE FZB24:,Bacillus amyloliquefaciens strain FZB24,Approved,Fuzzy (Similitude)
"BACILLUS THURINGIENSIS SUBSP-KURSTAKI, SOUCHE EG-2348",Bacillus thuringiensis subsp. Kurstaki strain EG2348,Approved,Fuzzy (Similitude)
CYCLOXIDIME,Cycloxydim,Approved,Fuzzy (Similitude)
DICHLOROPROP-P,Dichlorprop-P,Approved,Fuzzy (Similitude)
DIFECONAZOLE,Difenoconazole,Approved,Fuzzy (Similitude)
FLUDIOXINIL,Fludioxonil,Approved,Fuzzy (Similitude)
FOLPEL,Folpet,Approved,Fuzzy (Similitude)
GLYPHOSPHATE,Glyphosate,Approved,Fuzzy (Similitude)
HYDROLYSAT DE PROTEINES,Hydrolysed proteins,Approved,Fuzzy (Similitude)
IODOSULFURON-METHYL,Halosulfuron-methyl,Approved,Fuzzy (Similitude)
KREOXIM-METHYL,Kresoxim-methyl,Approved,Fuzzy (Similitude)
LAMBADA CYHALOTHRINE,lambda-Cyhalothrin,Approved,Fuzzy (Similitude)
MANIPROPAMIDE,Mandipropamid,Approved,Fuzzy (Similitude)
MESOSULFURON-METHYL (MESOMAX),Metsulfuron-methyl,Approved,Fuzzy (Similitude)
METALAXYL –M,Metalaxyl-M,Approved,Fuzzy (Similitude)
METHALDEHYDE,Metaldehyde,Approved,Fuzzy (Similitude)
METROBROMURON,Metobromuron,Approved,Fuzzy (Similitude)
PYRADABEN,Pyridaben,Approved,Fuzzy (Similitude)
PYRETHRINE,Pyrethrins,Approved,Fuzzy (Similitude)
PYRIMICARBE,Pirimicarb,Approved,Fuzzy (Similitude)
PYRIMIPHOS METHYL,Pirimiphos-methyl,Approved,Fuzzy (Similitude)
QUIZALOFOP –P-ETHYL,Quizalofop-P-ethyl,Approved,Fuzzy (Similitude)
TRICHODERMA ASPERELLUM ICC012,Trichoderma asperellum (formerly T. harzianum) strain ICC012,Approved,Fuzzy (Similitude)
TRICHODERMA GAMSII ICC080,Trichoderma gamsii (formerly T. viride) strain ICC080,Approved,Fuzzy (Similitude)
TRIFLUSULFURON METHYL,Thifensulfuron-methyl,Approved,Fuzzy (Similitude)
HUILE NON IONIQUE,HUILE NON IONIQUE,Approved,Hors Champs
ADEPIDYN,Pydiflumetofen,Pending,Manual
CAPSAICINE,Capsicum oleoresin,Pending,Manual
CINNAMALDHEYDE,3-phenyl-2-propenal (Cinnamaldehyde),Pending,Manual
CINNAMOMUM ZEYLANICUM :EXTRAIT DE CANNELLE (CINNAMALDEHYDE),3-phenyl-2-propenal (Cinnamaldehyde),Pending,Manual
"1,4-DIAMINOBUTANE (PUTRESCINE)","Putrescine (1,4-Diaminobutane)",Not approved,Manual
ACETATE D’AMMONIUM,Ammonium Acetate,Not approved,Manual
ACIDE CHLORO 4 PHENOXYACETIQUE,4-CPA (4-chlorophenoxyaceticacid = PCPA),Not approved,Manual
ALKYLPHENOLEXY-ETHYLENE,Nonylphenol ethoxylate,Not approved,Manual
BORAX,Sodium tetraborate,Not approved,Manual
CYANAMIDE D’HYDROGENE,Cyanamide (H & Ca cyanamide),Not approved,Manual
DDVP,Dichlorvos,Not approved,Manual
DIAMINUBUTANE,"Putrescine (1,4-Diaminobutane) ",Not approved,Manual
DINOCAP-MEPTYL,Dinocap,Not approved,Manual
GLUFOSINATE D'ALUMINIUM,Glufosinate,Not approved,Manual
HUILE DE PIN,Plant oils / Pinus oil,Not approved,Manual
METIRAME DE ZINC,METIRAM,Not approved,Manual
THIOCYCLAME HYDROGENE OXALATE,Thiocyclam,Not approved,Manual
TRIMETHYLAMINE HCL,Trimethylamine hydrochloride,Not approved,Manual
HUILE PARAFINIQUE,Paraffin oil/(CAS 64742-46-7),Approved,Manual
BHT,Butylated hydroxytoluene,N/A,Manual
ACIDE GIBBERELLIQUE,Gibberellic acid,Approved,Manual
ARYLEX ACTIVE (HALAUXIFEN-METHYL),Halauxifen-methyl,Approved,Manual
ARYLEX TM,Halauxifen-methyl,Approved,Manual
AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,Aureobasidium pullulans (strains DSM 14940 and DSM 14941),Approved,Manual
"BACILLUS THURINGIENSIS (SPKURSTAKI), SOUCHE ABTS-351",Bacillus thuringiensis subsp. Kurstaki strain ABTS-351,Approved,Manual
CHINOZOLE,Quinolin-8-ol,Approved,Manual
CHLORMEQUAT-CHLORURE,Chlormequat,Approved,Manual
CLODINAFOP-PROPAGYL,Clodinafop,Approved,Manual
CUIVRE METAL,Copper compounds,Approved,Manual
DERIVVES D'ACIDES GRAS VEGETAUX,Fatty acids C7-C18 and C18 unsaturated potassium salts,Approved,Manual
DICAMBA-SEL DIMETHYLAMINE (DMA),Dicamba,Approved,Manual
DSM 14940,Aureobasidium pullulans (strains DSM 14940 and DSM 14941),Approved,Manual
DSM 14941,Aureobasidium pullulans (strains DSM 14940 and DSM 14941),Approved,Manual
E3Z8Z11-14AC,"(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetate (SCLP Acetates)",Approved,Manual
EMAMECTIN BENZOATE,Emamectin,Approved,Manual
FLUAZIFOP-P-BUTYL,Fluazifop-P,Approved,Manual
FOSETHYL-AL,Fosetyl,Approved,Manual
HUILE D’ESSENCE D’ORANGE,Orange oil,Approved,Manual
HUILE DE COLZA,Rape seed oil,Approved,Manual
HUILE DE NEEM,"Plant oils / Soybean oil, epoxylated",Approved,Manual
HUILE DE PARAFFINE,Paraffin oil/(CAS 64742-46-7),Approved,Manual
HUILE ESSENTIELLE DE THYM (THYMOL),Thymol,Approved,Manual
HUILE MINERALE,Paraffin oil/(CAS 64742-46-7),Approved,Manual
HYDROXYDE DE CUIVRE,Copper hydroxide,Approved,Manual
IODOSULFURON – METHYL SODIUM,Iodosulfuron,Approved,Manual
METAM POTASSIUM,Metam (incl. -potassium and -sodium),Approved,Manual
METAM SODIUM,Metam (incl. -potassium and -sodium),Approved,Manual
NATURAL PYRETHRIN,Pyrethrins,Approved,Manual
OXYCHLORURE DE CUIVRE,Copper compounds,Approved,Manual
PHOSPHURE D’AL.,Aluminium phosphide,Approved,Manual
PHOSPHURE D'HY.,Aluminium phosphide,Approved,Manual
PHOSPHURE DE MAGNESIUM,Magnesium phosphide,Approved,Manual
PROHEXADIONE-CALCIUM,Prohexadione,Approved,Manual
PROPAMOCARB HYDROCHLORIDE,Propamocarb,Approved,Manual
PROPOXYCARBAZON SODIUM,Propoxycarbazone,Approved,Manual
PROTEINES HYDROLYSEES,Hydrolysed proteins,Approved,Manual
PYRACLOSTROBINE METCONAZOLE,Pyraclostrobin,Approved,Manual
PYTHIUM OLIGANDRUM,PYTHIUM OLIGANDRUM,Approved,Manual
SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,Akanthomyces muscarius Ve6 (formerly Lecanicillium muscarium strain Ve6),Approved,Manual
SULFATE DE CUIVRE,Copper compounds,Approved,Manual
SULFATE DE CUIVRE TRIBASIQUE,Tribasic copper sulphate,Approved,Manual
SULFATE TETRACUIVRIQUE TRICALCIQUE,Copper compounds,Approved,Manual
TREBUNIRON-METHYL,Tribenuron (aka metometuron),Approved,Manual
"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,Approved,Manual
"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,Approved,Manual
FLOMETOQUIN,Flometoquin,Not approved,Manuel / Récent
"2,4 D –ESTER BUTYLGLYCOL","2,4-D",Approved,"Mapping Spécial (2,4-D)"
"2,4-D ACIDE","2,4-D",Approved,"Mapping Spécial (2,4-D)"
"2,4-D SEL D’AMINE","2,4-D",Approved,"Mapping Spécial (2,4-D)"
"2,4-D SEL DE DIMETHYLAMINE","2,4-D",Approved,"Mapping Spécial (2,4-D)"
2.4 D EHE,"2,4-D",Approved,"Mapping Spécial (2,4-D)"
FLUXAMETAMIDE,FLUXAMETAMIDE,Not approved,Not in EU Base
KEROMONE,Kairomone,Approved,Not in EU Base
ACETATE D'ETHYLE,Acétate d'éthyle (Attractif),Approved,Not in EU Base
KINETIN,Kinétine (Cytokinines),Approved,Not in EU Base
METARHIZIUMRILEYI STRAIN,Metarhizium rileyi,Approved,Not in EU Base
POLYETHER,POLYETHER,Approved,Not in EU Base
POLYETHER MODIFIED TRISILOXANE,Polyéther / Trisiloxane (Adjuvant),Approved,Not in EU Base
POLYOXYETHYLENE AMINE,POLYOXYETHYLENE AMINE (POEA),Approved,Not in EU Base / controversée
SPIROPIDION,"3-(4-chloro-2,6-dimethylphenyl)-8-methoxy-1-methyl-4-(1-methylethyl)-2-oxo-1,8-diazaspiro[4.5]dec-3-en-3-yl ethyl carbonate",Approved,Not in JSON
ACIDE BETA INDOLBUTIRIQUE,Indole-3-butyric acid,Approved,Not in JSON
CLOQUINTOCET –MEXYL,CLOQUINTOCET –MEXYL,Approved,Safeners
CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,Approved,Safeners
ESTERS SULFURIQUES,ESTERS SULFURIQUES,N/A,Tensioactif
ACRINATHRINE,Acrinathrin,Not approved,Traduction Fr->En
CHLORPROPHAME,Chlorpropham,Not approved,Traduction Fr->En
DIMOXYSTROBINE,Dimoxystrobin,Not approved,Traduction Fr->En
FENPROPIMORPHE,Fenpropimorph,Not approved,Traduction Fr->En
GAMMA-CYHALOTHRINE,Gamma-cyhalothrin,Not approved,Traduction Fr->En
MANCOZEBE,Mancozeb,Not approved,Traduction Fr->En
MANEBE,Maneb,Not approved,Traduction Fr->En
METHIOCARBE,Methiocarb (aka mercaptodimethur),Not approved,Traduction Fr->En
METRIBUZINE,Metribuzin,Not approved,Traduction Fr->En
PICOXYSTROBINE,Picoxystrobin,Not approved,Traduction Fr->En
PROCHLORAZE,Prochloraz,Not approved,Traduction Fr->En
PROPINEBE,Propineb,Not approved,Traduction Fr->En
THIACLOPRIDE,Thiacloprid,Not approved,Traduction Fr->En
TOLFENPYRADE,Tolfenpyrad,Not approved,Traduction Fr->En
TRIFLURALINE,Trifluralin,Not approved,Traduction Fr->En
ABAMECTINE,Abamectin (aka avermectin),Approved,Traduction Fr->En
ACETAMIPRIDE,Acetamiprid,Approved,Traduction Fr->En
AMETOCTRADINE,Ametoctradin,Approved,Traduction Fr->En
AZADIRACHTINE,Azadirachtin (Margosa extract),Approved,Traduction Fr->En
AZOXYSTROBINE,Azoxystrobin,Approved,Traduction Fr->En
CAPTANE,Captan,Approved,Traduction Fr->En
CLETHODIME,Clethodim,Approved,Traduction Fr->En
CYPERMETHRINE,Cypermethrin,Approved,Traduction Fr->En
DELTAMETHRINE,Deltamethrin,Approved,Traduction Fr->En
FENHEXAMIDE,Fenhexamid,Approved,Traduction Fr->En
FENPROPIDINE,Fenpropidin,Approved,Traduction Fr->En
FLORASULAME,Florasulam,Approved,Traduction Fr->En
FLUOXASTROBINE,Fluoxastrobin,Approved,Traduction Fr->En
HYMEXAZOLE,Hymexazol,Approved,Traduction Fr->En
IPROVALICARBE,Iprovalicarb,Approved,Traduction Fr->En
MANDIPROPAMIDE,Mandipropamid,Approved,Traduction Fr->En
METAZACHLORE,Metazachlor,Approved,Traduction Fr->En
OXYFLUORFENE,Oxyfluorfen,Approved,Traduction Fr->En
PENDIMETHALINE,Pendimethalin,Approved,Traduction Fr->En
PROPAMOCARBE,Propamocarb,Approved,Traduction Fr->En
PYRACLOSTROBINE,Pyraclostrobin,Approved,Traduction Fr->En
PYRIDABENE,Pyridaben,Approved,Traduction Fr->En
PYRIPROXYFENE,Pyriproxyfen,Approved,Traduction Fr->En
SPINOSADE,Spinosad,Approved,Traduction Fr->En
TEFLUTHRINE,Tefluthrin,Approved,Traduction Fr->En
TRIFLOXYSTROBINE,Trifloxystrobin,Approved,Traduction Fr->En
ZIRAME,Ziram,Approved,Traduction Fr->En
