Produit_Commercial,Société,Fabricant
G l y c e l,A G R I M A T C O,e x c e l c r o p
G l y c e l,A G R I M A T C O,nan
C O P S I P,A G R I P R O T E C,SIPCAM INAGRA
C i b l e,A G R I P R O T E C,N U F A R M
CETUS,A G R I P R O T E C,F M C
K I N V A R A M E,A G R I P R O T E C,B R A C L A Y
C O P S I P,A G R I P R O TEC,SIPCAM INAGRA
A g r i a t e c h,A G R O S Y S T E M E S,A G R I A S A
B a z o o k a,A G R O S Y S T E M E S,GLOBACHEM
G l y p h o s,A G R O S Y S T E M E S,C h e m i n o v a
T o p e n c o 1 0 0 E C,A G R O S Y S T E M ES,GLOBACHEM
T o p e n c o 1 0 0 E C,A G R O S Y STEMES,GLOBACHEM
B u c k l e R,A M I N C O,GLOBACHEM
E r a z e r,A M I N C O,GLOBACHEM
M a y n o z a t e,A M I N C O,A G R I A S A
I n a c o p P M,A T L A S A G R I C O L E,SIPCAM INAGRA
S p e c t o r S L,A T L A S A G R I C O L E,BAYER CROPSCIENCE
I n a c o p P M,A T L A S A G R I COLE,SIPCAM INAGRA
G l y w e e d,A T L A S I N D U S T R I E,C O R O M A N D E L L t d .
G l y w e e d,A T L A S I N D U S T R I E,C O R O M A NDEL Ltd.
G l y w e e d,A T L A S I N D U S T R I E,C O R O M A N DEL Ltd.
G l y w e e d,A T L A S INDUSTRIE,C O R O M A N DEL Ltd.
ALLIANCE TOP SC,AGRI PLUS,JIANGYIN SULI
ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL
WG,AGRICOLE,AGROSCIENCE
nan,AGRICOLE,LTD
nan,AGRICOLE,nan
nan,AGRICOLE,INDUSTRIES
nan,AGRICOLE,LIFESCIENCE
nan,AGRICOLE,CROPSCIENCE
nan,AGRICULTURE,BIOCONTROL AG
A r o x y 2 5 0 S C,AGRIMATCO,UPL
AIRONE,AGRIMATCO,ISAGRO
AIRONE,AGRIMATCO,ISAGRO/distribute par
ALLEGRO,AGRIMATCO,BASF
ALLIAGE DF,AGRIMATCO,BASF
Amanora,AGRIMATCO,UPL
BATO,AGRIMATCO,BASF
Benevia,AGRIMATCO,DU PONT
CAPITOL 80 WG,AGRIMATCO,SHARDA
Clip,AGRIMATCO,DU PONT INTERNATIONAL
Clip,AGRIMATCO,DU PONT
DANIRANGER 10DC,AGRIMATCO,OAT AgrioCO.Ltd
FLORAMITE 240,AGRIMATCO,CHEMTURA/AR YSTA
FLORAMITE 240 SC,AGRIMATCO,CHEMTURA/ARYSTA
FLORAMITE 240 SC,AGRIMATCO,CHEMTURA/AR YSTA
FOXTON 30 SC,AGRIMATCO,"LoatingYoloo Bio- Technology Co ,Ltd/chine"
GRACIA 100 EC,AGRIMATCO,NISSAN CHEMICAL CORPORATION
IMIGO 70 WG,AGRIMATCO,United Phosphorus Limited
Imigo70 WG,AGRIMATCO,United Phosphorus
M ETRON WG,AGRIMATCO,UNITED PHOSPHORUS
METRON WG,AGRIMATCO,UNITED
METRON WG,AGRIMATCO,UNITED PHOSPHORUS
Pantera 40,AGRIMATCO,CHEMTURA
REBOOT WG,AGRIMATCO,GOWAN CROP
REBOOT WG,AGRIMATCO,GOWAN CROP PROTECTION LIMITED
REVYSTAR EC,AGRIMATCO,BASF
S u n O I L,AGRIMATCO,PETRONAS
STARKEL 20SG,AGRIMATCO,Mitsui Chemicals
STARKLE 20SG,AGRIMATCO,"Mitsui Chemicals Agro,Inc"
Sulpex,AGRIMATCO,Agrostulln GmbH
Sulpex,AGRIMATCO,Agrostulln GmbH/frarimpex(D)
Sulpex,AGRIMATCO,AgrostullnGmbH/frarimpe x(D)
Sumipleo50EC,AGRIMATCO,SUMITOMO
SunOIL,AGRIMATCO,PETRONAS LUBRICANTS BELGIUM NV
TUBERON,AGRIMATCO,UPL
Vydate GR,AGRIMATCO,DUPONT
YAMATO 85,AGRIMATCO,Kumai chemical
YAMATO 85 WG,AGRIMATCO,Kumai chemical industry
YAMATO 85 WG,AGRIMATCO,Kumaichemicalind ustry
codacide EO,AGRIMATCO,Mirocide Ltd
codacide EO,AGRIMATCO,Courgette :Adjuvant : 1 l/ha Par pulvérisation(comm09/02/21)
KUISTAR,AGRIMED,SHARDA
Mitraze,AGRIMED,sharda cropchem
OXYCUIVRE 50,AGRIMED,Shyham chemical
Radikal SC,AGRIMED,SHARDA
T H I O P H ANATE M,AGRIMED,MEGHMANI
VEGA EC,AGRIMED,Sharda cropchem
WINTER 41 EC,AGRIMED,SHARDA
50,AGRIMED DISTRIBUTION,Shyhamchemical /FITOGAL
Benfuron,AGRIMED DISTRIBUTION,SHARDA
Benfuron,AGRIMED DISTRIBUTION,nan
CURATEX EXTRA SC,AGRIMED DISTRIBUTION,SHARDA CROPCHEM
CURATEX EXTRA SC,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE
G RAZY 70% WDG,AGRIMED DISTRIBUTION,SHARDA CROPCHEM
GRAZY 70% WDG,AGRIMED DISTRIBUTION,nan
INDIGO WDG,AGRIMED DISTRIBUTION,Sharda
KUISTAR,AGRIMED DISTRIBUTION,SHARDA
Mitraze,AGRIMED DISTRIBUTION,sharda cropchem limited
Mitraze,AGRIMED DISTRIBUTION,shardacropchemli mited
Mitraze,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE
OXYCUIVRE 50,AGRIMED DISTRIBUTION,Shyham chemical /FITOGAL
PROXER,AGRIMED DISTRIBUTION,shardacrochem
PROXER,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE
T H IOPHANATE,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES
TRYBERON 75 WG,AGRIMED DISTRIBUTION,Sharda Cropchem
TRYBERON 75 WG,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE
VEGA EC,AGRIMED DISTRIBUTION,Sharda cropchem
VEGA EC,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE
WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
shanon,AGRIMED DISTRIBUTION,shardacropchem
CYPERNOVA,AGRINOVA,SHARDA WORLDWIDE
CYPERNOVA,AGRINOVA,nan
FLOPY DUO,AGRINOVA,Sharda cropchem
INDOXAL XTRA W DG,AGRINOVA,AGROBEATS TECH CHINE
INDOXAL XTRA WDG,AGRINOVA,AGROBEATS TECH CHINE
MITADOR WG,AGRINOVA,/Sharda Cropchem INDE
N OVAMET WP,AGRINOVA,AGROW ALLIED
NOV-UP,AGRINOVA,Sharda Cropchem
NOV-UP,AGRINOVA,Sharda Cropchem Limited
NOV-UP,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
NOVAMET WP,AGRINOVA,AGROW ALLIED
PROMY,AGRINOVA,Sharda Cropchem
SHARMINA 720,AGRINOVA,SHARDA
SHARMINA 720 SL,AGRINOVA,SHARDA
SHARMINA 720 SL,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
SULFINOVA,AGRINOVA,AGROW ALLIED
SULFINOVA 80WDG,AGRINOVA,AGROW ALLIED
TEBUNOVA SC,AGRINOVA,SHARDA
TEBUNOVA SC,AGRINOVA,nan
TEBUSHA 6 FS,AGRINOVA,Sharda World wide
BANNER EC,AGRIPLUS,HEBEI VEYONG BIO- CHEMICAL CO.LTD
BANNER EC,AGRIPLUS,HEBEI VEYONG
BASASTAR SL,AGRIPLUS,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD"
BASASTAR SL,AGRIPLUS,NANJING
BOZAR,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
BOZAR,AGRIPLUS,JIANGSU
H E R B A S T A R E C,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
H E R B A S T A R E C,AGRIPLUS,JIANGSU
H E R B A S T AR EC,AGRIPLUS,nan
MATADOR PLUS EC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
MATADOR PLUS EC,AGRIPLUS,NINGBO SUNJOY
METROSTAR SC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
METROSTAR SC,AGRIPLUS,NINGBO SUNJOY
METROSTAR SC,AGRIPLUS,nan
RUBAH,AGRIPLUS,PARIJAT
SYMBA EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
SYMBA EC,AGRIPLUS,JIANGSU
TREZAK EC,AGRIPROTC,Dow agroscience
A c t e l l i c,AGRIPROTEC,SYNGENTA
A g r i p h a nate,AGRIPROTEC,MEGHMANI
A lial,AGRIPROTEC,PROPLAN
ACTELIC EC,AGRIPROTEC,SYNGENTA
AGRI-FLEX 185 SC,AGRIPROTEC,SYNGENTA
ALTACOR 35 WG,AGRIPROTEC,FMC
Agral 90,AGRIPROTEC,Syngenta
Alial,AGRIPROTEC,PROPLAN
Alial,AGRIPROTEC,PROPLAN/QUMETICA
Amistar Xtra,AGRIPROTEC,SYNGENTA
Ampligo 150 ZC,AGRIPROTEC,SYNGENTA/
Applaud 25 SC,AGRIPROTEC,SIPCAM INAGRA
Atemi 10 WG,AGRIPROTEC,SYNGENTA CROP PROTECTION
Atemi 10 WG,AGRIPROTEC,SYNGENTA CROP
B ravo SC,AGRIPROTEC,SYNGENTA
BANTER WG,AGRIPROTEC,UPL limited
BELTHIRUL 16SC,AGRIPROTEC,PROBLETE
BETASANA TRIO,AGRIPROTEC,UPL Limited
BION 50 WG,AGRIPROTEC,SYNGENTA
BLINDAR,AGRIPROTEC,ISAGRO SPA/GOWAN
BOLTON EC,AGRIPROTEC,CHEMINOVA
BOLTON EC,AGRIPROTEC,CHEMINOVA /FMC
BUGUIS EC,AGRIPROTEC,PROPLAN
BUGUIS EC,AGRIPROTEC,PROPLAN/QUME
BUTTRESS SC,AGRIPROTEC,NUFARM
Beltanol-L,AGRIPROTEC,PROBELTE
C a p t a n 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE/UPL
CARMINA MAX SC,AGRIPROTEC,NUFARM
CEREIAX,AGRIPROTEC,BASF
CERIAX,AGRIPROTEC,BASF
CETUS,AGRIPROTEC,FMC
CHALLENGER SC,AGRIPROTEC,BASF
CIDELY TOP 140 DC,AGRIPROTEC,SYNGENTA
CORUM SL,AGRIPROTEC,BASF
COSAVET-DF,AGRIPROTEC,Sulphur Mills Limited
COSSACK OD,AGRIPROTEC,BAYER CROPSCIENCE
CYTHRINE 10 EC,AGRIPROTEC,ARYSTA LIFESCIENCE/IP L
Cabrio Duo,AGRIPROTEC,BASF
Captan 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE/UPL
Clyde SG,AGRIPROTEC,ALBAUGH EUROPE SARL
Comac,AGRIPROTEC,NUFARM
DESPERADO,AGRIPROTEC,Nufarm
DUETT ULTRA EC,AGRIPROTEC,BASF
Dicopur 720 SL,AGRIPROTEC,NUFARM
Dual gold 960 EC,AGRIPROTEC,SYNGENTA
E v e r e s t 7 0 W G,AGRIPROTEC,ARYSTA LIFESCIENCE
E v e r e s t 7 0 W G,AGRIPROTEC,ARYSTA
E v e r e s t 7 0 WG,AGRIPROTEC,ARYSTA LIFESCIENCE
Engeo 247,AGRIPROTEC,SYNGENTA
FLYRAL,AGRIPROTEC,BIOIBIRICA
Folio Gold,AGRIPROTEC,SYNGENTA
Force,AGRIPROTEC,SYNGENTA
Fosbel extra,AGRIPROTEC,PROBELTE
GALLUP SUPER,AGRIPROTEC,Braclay chemicals
GALLUP SUPER SL,AGRIPROTEC,Braclay chemicals
GALLUP SUPER SL,AGRIPROTEC,Braclaychemicals
GIZMO SUPER FS,AGRIPROTEC,NUFARM
GLYFAST 450 SL,AGRIPROTEC,Braclay chemicals
GLYFAST 450 SL,AGRIPROTEC,Braclaychemicals
GRANSTAR MAX,AGRIPROTEC,chenminova/FMC
GRANSTAR MAX WG,AGRIPROTEC,chenminova/FM C
GRANSTAR MAX WG,AGRIPROTEC,chenminova/FMC
GREEN STAR,AGRIPROTEC,BAYER CROPSCIENCE
HUSSAR EVOLUTION,AGRIPROTEC,BAYER CROPSCIENCE
Heat,AGRIPROTEC,BASF CORPORATION
Heat,AGRIPROTEC,BASF
Imidan 50 A,AGRIPROTEC,GOWAN/Espagne
Imidan 50 A,AGRIPROTEC,GOWA&N/Espagn e
Impact S,AGRIPROTEC,CHEMINOVA
Impact S,AGRIPROTEC,CHEMINOVA/FMC
Impact SC,AGRIPROTEC,CHEMINOVA/FMC
Impact max SC,AGRIPROTEC,BASF SE
Impact max SC,AGRIPROTEC,Cheminova/FMC
Isomexx,AGRIPROTEC,NUFARM
Jalisco,AGRIPROTEC,PROPLANT
Jalisco,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
K o c i d e 2 0 00,AGRIPROTEC,MITSUI & Co
K o c i d e 2000,AGRIPROTEC,MITSUI & Co Ltd
K ocide 2000,AGRIPROTEC,MITSUI & Co Ltd/kocide LLC/cosaco LLC(japon)
K ocide 2000,AGRIPROTEC,MITSUI & Co Ltd/kocide LLC/cosacoLLC(japon)
KATANGA MAN,AGRIPROTEC,PROPLAN
KUSABI SC,AGRIPROTEC,ISK Biosciences
KUSABI SC,AGRIPROTEC,ISK Biosciences Europe N.V/UPL
Karaté 5 EC,AGRIPROTEC,SYNGENTA
Klerat,AGRIPROTEC,SYNGENTA
Klérat,AGRIPROTEC,SYNGENTA
LAMBDATROL,AGRIPROTEC,SIPCAM INAGRA
LAMBDATROL,AGRIPROTEC,nan
LUTIRAM WG,AGRIPROTEC,BASF
LUTIRAM WP,AGRIPROTEC,BASF
MASAI,AGRIPROTEC,BASF
MASAI,AGRIPROTEC,BASF/belchim
MASAI,AGRIPROTEC,BASF/belchim/Cer atis BELCHIM
MASAI,AGRIPROTEC,BASF/belchim/Cer atisBelchimN.V
MULIGAN,AGRIPROTEC,PROPLAN
MULIGAN,AGRIPROTEC,PROPLAN/QUME
MULIGAN,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
Match 50 EC,AGRIPROTEC,SYNGENTA
Menara 410 EC,AGRIPROTEC,SYNGENTA
Milbeknock,AGRIPROTEC,MITSUI CHEMICALS AGRO
Milbeknock,AGRIPROTEC,Mitsui Chemicals
Milbeknock,AGRIPROTEC,"Mitsui Chemicals Agro,Inc"
Milbeknock,AGRIPROTEC,"Mitsui Chemicals Agro,Inc/summit agro"
Mystic Pro,AGRIPROTEC,NUFARM SAS
NANOK,AGRIPROTEC,FMC
NEXTER 10 SC,AGRIPROTEC,NISSAN CHEMICAL CORPORATION/ BASF
NUFOSATESL,AGRIPROTEC,NUFARM
Natramat 240SC,AGRIPROTEC,Jiangsu United Agrochemical
Natramat 240SC,AGRIPROTEC,Jiangsu United Agrochemical/nanj ing
Numectin,AGRIPROTEC,NUFARM
OPTIMO DUO EC,AGRIPROTEC,BASF
OSIRIS,AGRIPROTEC,BASF
Orvego,AGRIPROTEC,BASF
PENNFLUID SC,AGRIPROTEC,UPL LIMITED
PERIMETER SL,AGRIPROTEC,GOWAN CROP PROTECTION LIMITED
POINTER GEO GR,AGRIPROTEC,SIPCAM INAGRA
PROPYZ,AGRIPROTEC,BARCLAY CHEMICALS Ltd
PROPYZ,AGRIPROTEC,BARCLAY
Pergado MZ 65 WG,AGRIPROTEC,SYNGENTA
Pristine WG,AGRIPROTEC,BASF
RAMPART FS,AGRIPROTEC,UPL LIMITED
RANMAN TOP SC,AGRIPROTEC,ISK Biosciences
RANMAN TOP SC,AGRIPROTEC,ISK Biosciences Europe N.V
REAL SUPER,AGRIPROTEC,BASF
REVYCARE EC,AGRIPROTEC,BASF
RIVAL 607 SL,AGRIPROTEC,AGRIA
ROCINANTE,AGRIPROTEC,PROPLAN PLANT
ROCINANTE,AGRIPROTEC,PROPLAN PLANT PROTECTION COMPANY
ROCINANTE,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
ROCINANTE,AGRIPROTEC,PROPLAN/QUME
Regalis,AGRIPROTEC,BASF
SABUESO,AGRIPROTEC,PROPLAN
SALIBRO 500 SC,AGRIPROTEC,CORTEVA
SIP-OIL,AGRIPROTEC,SIPCAM INAGRA
SOREXA PELLETS,AGRIPROTEC,BASF
STALLION,AGRIPROTEC,FMC
SULFOSTAR DF,AGRIPROTEC,BASF
SUPER PLAZMA SC,AGRIPROTEC,NUFARM
Stabilan750,AGRIPROTEC,NUFARM
Stabilan750,AGRIPROTEC,nan
T R O Y 4 8 0 S L,AGRIPROTEC,UPL LIMITED
TEPPEKI WG,AGRIPROTEC,ISK Biosciences Europe
TEPPEKI WG,AGRIPROTEC,ISK Biosciences Europe N.V(fabricant)/upl( fournisseur)
TOSCANA,AGRIPROTEC,PROPLAN
TOSCANA,AGRIPROTEC,PROPLAN/QUME
TOSCANA,AGRIPROTEC,nan
Tachigaren,AGRIPROTEC,MITSUI CHEMICALS AGRO
Tachigaren,AGRIPROTEC,Mitsui Chemicals
Tachigaren,AGRIPROTEC,"Mitsui Chemicals Agro,Inc"
Tachigaren,AGRIPROTEC,"Mitsui Chemicals Agro,Inc/summit agro"
Triziman 80,AGRIPROTEC,UPL
V u l c a n o,AGRIPROTEC,ARYSTA LIFESCIENCE
V u l c a n o,AGRIPROTEC,ARYSTA
VERSIMO 240 SC,AGRIPROTEC,BASF
VERSYS DC,AGRIPROTEC,BASF
VIVANDO,AGRIPROTEC,BASF / SBM FORMULATION
Vincit F,AGRIPROTEC,CHEMINOVA
Vincit F,AGRIPROTEC,CHEMINOVA/FMC
Vivando,AGRIPROTEC,BASF / SBM FORMULATION
Vivando,AGRIPROTEC,BASF / SBM
Vydate 10 L,AGRIPROTEC,DU PONT
Vydate 10 L,AGRIPROTEC,DU PONT/corteva
Vydate 10 L,AGRIPROTEC,nan
nan,AGRIPROTEC,SYNGENTA
polymer WG,AGRIPROTEC,NUFARM S.A
A m i s t a r Ortiva,AGRIPROTEC AGRIPROTEC,SYNGENTA SYNGENTA
Mystic Pro Winner,AGRIPROTEC BIOPROTECTION,NUFARM SAS NUFARM SAS
Klérat Broditop wax block Broditop Raticide detia,AGRIPROTEC ETS MEZGHANI ETS MEZGHANI STIMA,SYNGENTA ZAPI SPA ZAPI SPA DETIA
Cymbush 10 Selene Cirtan EC Sherpa,AGRIPROTEC ETS. MEZGHANI COTUGRAIN IMPEX JADWA AGROTEC,PROBELTE INDUSTRIAL QUIMICA KEY ALCOTAN CMPA
Otria Plus Maxil Armetil M Maxitan WP Unilax Agroxyl-M Milor M,AGRIPROTEC ETS. MEZGHANI SOCOOPEC COTUGRAINIMPEX PROTAGRI EL MOUSSEM SANABEL AGRO,PROBELTE INDUST. QUIMICAKEY IQV DEL VALLES ALCOTAN/I.Q.V AGRO UNITED PHOSPHORUS NUFARM IQV DEL VALLES
C aptan 83 WP Akotan 830 WP,AGRIPROTEC SEPCM,ARYSTA LIFESCIENCE AAKO
Amistar Top Ortiva TOP,AGRIPROTEC SLOGRI,SYNGENTA SYNGENTA
Fusilade Max Trivko,AGRIPROTEC SOLAGRI,SYNGENTA SYNGENTA
K a r a t é 1 0 C S Zeon Kung Fu,AGRIPROTEC SOLAGRI,SYNGENTA SYNGENTA
Tamifume,AGRO-SYSTEMES,TAMINCO
Tamifume,AGRO-SYSTEMES,TAMINCO/eastman
CAPITOL 80 WG,AGRONOMIC,SHARDA
ROMECTIN EC,AGRONOMIC,ROTAM CHEMISTRY
SKYLLA WDG,AGRONOMIC,ROTAM
DRASSEN,AGRONOMIC LAND,jiangsukuaida/shan ghai shengnong pesticide
ROMECTIN EC,AGRONOMIC LAND,"ROTAM CHEMISTRY CO.,Ltd"
SKYLLA WDG,AGRONOMIC LAND,ROTAM AGROCHEMICAL CO.LTD
SKYLLA WDG,AGRONOMIC LAND,ROTAM
SKYLLA WDG,AGRONOMIC LAND,ROTAM AGROCHEMICA
ALDEM 3% GR,AGRONOMIC Land,SHARDA
CAPITOL 80 WG,AGRONOMIC Land,SHARDA
CASTEL 48 EC,AGRONOMIC Land,SHARDA
Cello,AGRONOMIC Land,BAYER CROPSCIENCE
Cello,AGRONOMIC Land,BAYER
DEFAN 20 SL,AGRONOMIC Land,SHARDA
FORTUNA GLOBE,AGRONOMIC Land,Agria
Falcon 460 SC,AGRONOMIC Land,BAYER CROPSCIENCE
HERBOL,AGRONOMIC Land,SHARDA
Rival duo 450 SC,AGRONOMIC Land,Agria
Sekator OD,AGRONOMIC Land,BAYER CROPSCIENCES
Sekator OD,AGRONOMIC Land,BAYER
Sekator OD,AGRONOMIC Land,nan
TAZOLE 410 EC,AGRONOMIC Land,SHARDA
VERDIS 36 SL,AGRONOMIC Land,Sharda Cropchem Limited
Diflanil,AGROSYSTEME,GLOBACHEM
Foxtrot,AGROSYSTEME,FMC
TRIPSOL EW,AGROSYSTEME,cheminova
TRIPSOL EW,AGROSYSTEME,Cheminova/fmc
GLOPYR 100 SL,AGROSYSTEME S,Globachem
PROPER FLO SC,AGROSYSTEME S,Globachem
RAPSAN 500 SC,AGROSYSTEME S,Globachem
RAPSAN TDI SC,AGROSYSTEME S,Globachem
A g r o H u i l e,AGROSYSTEMES,PETRONAS
ACRUX SC,AGROSYSTEMES,Ascenza Agro
Agrocuivre,AGROSYSTEMES,SPEISS
Agrocuivre,AGROSYSTEMES,SPEISS URANIA/COSACO GmbH
Agrosoufre,AGROSYSTEMES,Agrostulln GmbH
Agrosoufre,AGROSYSTEMES,AgrostullnGmbH
BELKAP EXTRA,AGROSYSTEMES,PROBELTE
CIMOXATE C W G,AGROSYSTEMES,ASCENZA GRO S.APORTUGAL
CUPROSATE GOLD,AGROSYSTEMES,AGRIA
CUPROSATE GOLD M72 WP,AGROSYSTEMES,AGRIA
Cabridust,AGROSYSTEMES,The national company
Cabridust,AGROSYSTEMES,The national company for agrochemicals(AGROCHE M)
Copper Progress,AGROSYSTEMES,SPEISS
Copper Progress,AGROSYSTEMES,SPEISS URANIA/COSACO GmbH
DECIBEL MAX WG,AGROSYSTEMES,ASCENZA GRO S.APORTUGAL
DIFEND EXTRA FS,AGROSYSTEMES,Globachem
Delfin WG,AGROSYSTEMES,CERTIS
Delfin WG,AGROSYSTEMES,nan
Difcor,AGROSYSTEMES,GLOBACHEM
Difender 30 FS,AGROSYSTEMES,GLOBACHEM
Diflanil,AGROSYSTEMES,GLOBACHEM
Fluostar 200,AGROSYSTEMES,GLOBACHEM
Flurostar 200,AGROSYSTEMES,GLOBACHEM
G l o b a z t a r 2 5 0 S C,AGROSYSTEMES,Globachem
GLOPYR 100 SL,AGROSYSTEMES,Globachem
Gibb 3,AGROSYSTEMES,GLOBACHEM
JOYSTICK WG,AGROSYSTEMES,ASCENZA AGRO
Leader,AGROSYSTEMES,SUMITOMO
Mancothine,AGROSYSTEMES,AGRIA SA
Nuance,AGROSYSTEMES,CHEMINOVA
PROPER FLO SC,AGROSYSTEMES,Globachem
Piri,AGROSYSTEMES,GLOBACHEM
Pointer Duo,AGROSYSTEMES,CHEMINOVA
Pointer Duo,AGROSYSTEMES,CHEMINOVA/FMC
Qatar,AGROSYSTEMES,GLOBACHEM
RAPSAN 500 SC,AGROSYSTEMES,Globachem
RAPSAN TDI SC,AGROSYSTEMES,Globachem
Ravane,AGROSYSTEMES,GLOBACHEM
Ravane,AGROSYSTEMES,nan
Roxy,AGROSYSTEMES,GLOBACHEM
Rubric,AGROSYSTEMES,Cheminova
Spike,AGROSYSTEMES,GLOBACHEM
T e b u cur,AGROSYSTEMES,GLOBACHEM
Tebucur,AGROSYSTEMES,GLOBACHEM
Thionic autodispersible,AGROSYSTEMES,TAMINCO
Thionicautodispers,AGROSYSTEMES,TAMINCO/EASTMAN
Thionicautodispers ible,AGROSYSTEMES,TAMINCO/EASTMAN
Thionicautodispersible,AGROSYSTEMES,TAMINCO/EASTMA
V-NOL,AGROSYSTEMES,PROBELTE
Vantex,AGROSYSTEMES,FMC
Vantex,AGROSYSTEMES,nan
y,AGROSYSTEMES,GLOBACHEM
Agrocuivre Cuprumax 50 WP,AGROSYSTEMES AMINCO,SPEISS URANIA SPEISS URANIA
G lo b a z t a r 2 5 0 S C Zaftra SC,AGROSYSTEMES AMINCO,Globachem Globachem
Piri Tornado,AGROSYSTEMES AMINCO,GLOBACHEM GLOBACHEM
Difcor Protector Divisole,AGROSYSTEMES AMINCO TASMID,GLOBACHEM GLOBACHEM ASTRACHEM
Ravane Expert Markate,AGROSYSTEMES SANABEL AGRO AMINCO,GLOBACHEM SHARDA WORLDWIDE GLOBACHEM
FRUGICO SC,AGROSYTEME,GLOBACHEM
ARMOREX,ALOHA,SOILTECHNOLO
LITTOVIR,ALOHA,ANDERMATT
N omu-Protec,ALOHA,ANDERMATT PHP (Pty) AFRIQUE DE SUD
T-protec,ALOHA,Plant Health Products (phy)/Sud d'afrique/Andermatt PHP(Pty) Ltd/ANDERMATT BIOCONTROL GROUP AG
LITTOVIR,ALOHA AGRICULTURE,ANDERMATT BIOCONTROL AG
LITTOVIR,ALOHA AGRICULTURE,nan
BOLLDEX SC,ALOHA Agriculture,ANDERMATT BIOCONTROL
BOLLDEX SC,ALOHA Agriculture,ANDERMATT
BOLLDEX SC,ALOHA Agriculture,nan
Bb-Protec WP,ALOHA Agriculture,Plant Health Products
Bb-Protec WP,ALOHA Agriculture,nan
Bb-Protec WP,ALOHA Agriculture,Plant Health Products (phy)/Sud d'afrique/Andermat t PHP(Pty) Ltd/ANDERMAT T BIOCONTROL GROUP AG
Aminogibb,AMINCO,GLOBACHEM
COOPOX WP,AMINCO,Shyham chemical
COOPOX WP,AMINCO,Shyhamchemical
Cuprumax 50 WP,AMINCO,SPEISS
Cuprumax 50 WP,AMINCO,SPEISS URANIA/COSACO GmbH
Eponeo,AMINCO,Cheminova
Fidox 800 EC,AMINCO,GLOBACHEM
Markate,AMINCO,GLOBACHEM
Markate,AMINCO,nan
Maynozebe,AMINCO,AGRIA SA
Patrol 50 WP,AMINCO,SPEISS URANIA
Patrol 50 WP,AMINCO,SPEISS
Patrol 50 WP,AMINCO,SPEISS URANIA/COSACO GmbH
Protector,AMINCO,GLOBACHEM
Scooby doo,AMINCO,GLOBACHEM
Soufrustulln,AMINCO,Agrostulln GmbH
Soufrustulln,AMINCO,AgrostullnGmbH
T e s o n,AMINCO,GLOBACHEM
Teson,AMINCO,GLOBACHEM
Tornado,AMINCO,GLOBACHEM
Z a f t r a S C,AMINCO,Globachem
Eponeo Orage Nupoxyn,AMINCO SANABEL AGRO EL MOUSSEM AGRICOLE,Cheminova SINON CORPORATION NUFARM
AVATAR EC,ATLAS,DU PONT/FMC
Biopower SL,ATLAS,BAYER AG
FAME 480 SC,ATLAS,BAYER
FLEXIDOR,ATLAS,Dow
Fungisei SL,ATLAS,SEIPASA S A/
O v i p h y t,ATLAS,COMPTOIR
PIRECRIS,ATLAS,Seipasa S.A
Radiant 120 SC,ATLAS,DOW AGROSCIENCE
Robust 480 EC,ATLAS,COROMANDEL
Round Up Pro,ATLAS,nan
Verdict,ATLAS,DOW
AGRIKAR STAR,ATLAS AGRICOLE,DOW
AGRIKAR STAR,ATLAS AGRICOLE,DOW AGROSCIENCES
ASSOCIATE EC,ATLAS AGRICOLE,DU PONT/Corteva
AVADEX FACTOR,ATLAS AGRICOLE,GOWAN CROP
AVADEX FACTOR CS,ATLAS AGRICOLE,GOWAN CROP PROTECTION LIMITED
AVATAR EC,ATLAS AGRICOLE,DU PONT/FMC
AZIMUT XPERT SC,ATLAS AGRICOLE,NUFARM
Anteor Flash,ATLAS AGRICOLE,BAYER AG
Anteor flash,ATLAS AGRICOLE,BAYER AG
Atlantis,ATLAS AGRICOLE,BAYER CROPSCIENCE
Atlantis,ATLAS AGRICOLE,BAYER
Atlantis OD,ATLAS AGRICOLE,BAYER CROPSCIENCE
